#{"t_start": 1655448163.9142187, "env_id": null}
r,l,t
-22.165686,17,4.502822
-23.24853,22,4.633674
-19.0,6,4.758073
-31.14558,56,5.808935
-48.77159,136,7.088917
-30.731367,53,8.266788
-67.614296,227,9.621876
-72.897156,233,10.607088
-39.591675,107,11.429615
-29.917154,53,11.631141
-26.097055,38,12.520577
-69.12314,289,14.529017
-36.731365,78,14.643205
-55.476997,164,16.060738
-20.634315,12,16.349006
-33.814205,66,16.585016
-23.034315,29,17.174115
-28.199999,44,17.947021
-19.2,7,18.097719
-44.05443,171,18.47726
-24.482843,27,18.935117
-30.365683,56,19.008612
-24.53137,27,19.454685
14.497059,70,20.263654
-22.668629,22,20.762453
-35.31126,75,20.97613
-74.868744,267,21.382591
-24.585787,32,21.485244
-23.848528,24,21.849403
-41.828434,148,23.249685
-21.517157,18,23.52524
-52.731396,146,24.038077
-65.57998,204,24.878648
-31.745579,66,25.147211
-23.165686,28,25.961366
-31.848522,77,27.789444
-42.38579,138,28.561647
-46.6059,168,28.561696
-34.682835,72,29.982147
-32.42842,75,31.954749
-24.014214,27,32.52554
-20.482843,12,32.775015
-50.357384,193,33.370083
-21.282843,13,33.879287
-68.614296,214,34.05041
-35.785778,112,34.903689
-30.965681,71,35.03859
-29.08284,79,35.327346
-31.34558,58,36.038766
-23.897057,27,36.63925
-25.565685,31,37.282174
-41.58579,102,37.353184
-4.7029767,185,38.230827
-32.64852,76,38.55875
-21.2,31,39.049756
-19.4,6,39.219101
-23.765686,28,39.360848
-24.048529,25,39.842841
-49.794132,133,40.147359
-25.165686,41,40.644507
-25.13137,30,42.420772
-28.799997,45,42.895213
-27.579897,43,45.292113
-29.697054,50,45.292175
-37.58578,103,45.817935
-145.2822,718,83.321093
-56.971638,234,95.048025
-18.517157,1,95.161459
-62.87461,258,107.53519
-59.90279,502,131.452162
-316.83588,1731,132.420411
18.979898,34,134.224354
-75.054115,598,160.699078
-72.98549,549,160.898078
-433.60657,2324,162.029177
-67.78591,297,176.426096
-31.55162,357,179.599585
-27.226105,346,180.097581
-20.0,9,180.636452
19.6,36,182.60797
-34.44019,132,183.507618
18.476955,57,185.749233
3.711275,153,191.773164
-42.888756,232,197.88005
3.1598032,190,202.406403
-84.41968,646,215.002208
0.56565744,235,215.094484
20.73137,41,217.141296
-31.729073,400,219.837114
-35.717148,113,222.800776
16.24853,47,225.108961
-64.20008,232,226.869634
-21.034315,36,228.985231
-50.84859,215,237.404888
8.497066,112,242.702625
-62.054295,480,244.971489
22.331371,49,245.12201
-40.737427,349,247.223163
-27.6,69,248.922216
-36.005882,122,251.772019
-57.371643,284,266.599425
-33.11731,369,268.523271
-38.854595,420,269.667583
16.062746,82,273.89822
-16.757446,280,281.06955
-41.282856,192,283.511689
-47.965717,416,289.437883
9.662757,158,291.269744
-22.117157,40,291.477544
-11.928966,226,292.386509
12.000004,116,298.074927
7.759815,157,299.443357
-3.0686743,208,301.91217
17.897057,51,302.131811
11.194125,144,305.473131
14.1656885,79,305.964936
-24.331371,38,307.911086
9.7313795,129,309.39629
-30.434307,113,316.47187
-40.19774,419,331.294839
-121.971214,543,345.4161
13.565691,82,349.477725
-30.702938,84,354.049935
-26.737255,63,357.303974
-116.59391,558,361.170155
-181.71521,1107,367.211519
-49.220158,217,369.788163
18.462742,50,369.922246
20.282843,45,372.190458
-45.708878,225,373.747658
-24.46863,30,375.874733
14.897058,111,380.040856
18.379898,39,383.117991
10.048538,126,391.884927
-28.800129,360,394.32367
15.000006,89,397.911572
-29.082836,95,400.90932
1.3656662,236,412.343716
11.648538,149,421.354035
-26.626114,377,423.720341
18.048527,56,425.15219
18.179897,75,430.098359
11.814222,109,430.986299
13.331373,61,435.282304
17.497057,114,438.400444
-23.302944,76,441.059231
18.599998,105,446.034271
14.014218,133,450.507243
14.917159,112,453.729624
20.814213,41,456.599134
-255.83797,1248,460.127393
-52.854458,205,463.352181
17.697056,96,465.155746
18.248528,73,467.275698
2.4284256,202,467.999171
-24.205997,344,482.641422
-42.48889,394,488.648788
23.048529,26,490.127856
-102.985725,482,492.903056
-31.199991,114,499.184703
2.179876,226,502.465359
14.117165,117,505.204796
20.828426,59,508.097193
9.462756,136,509.264477
18.097055,55,510.958512
18.73137,55,512.185113
14.462743,58,515.137323
-93.47169,674,518.856806
-2.854459,223,522.297075
-27.92304,75,522.641613
16.945585,84,526.554967
23.917156,17,527.436829
-24.385891,303,530.446285
3.3941123,173,539.085666
-79.51731,344,540.171018
-83.69721,333,546.794702
7.2142315,196,553.093304
18.345585,39,555.176552
-61.8001,324,560.745122
-7.600053,276,562.690447
19.179897,49,563.432515
20.145584,45,565.423554
-48.28289,201,566.337182
14.482848,135,573.509305
15.497057,48,575.917385
-6.25447,287,580.372151
15.579903,113,581.731185
-74.48642,400,584.856539
7.779906,140,589.970154
-10.351516,216,600.97741
-31.957523,387,605.703086
8.097067,105,611.024266
-41.2,231,613.570582
19.814213,29,615.423686
18.53137,91,620.730084
14.131374,76,624.853063
-100.585785,492,638.089846
17.53137,58,640.854688
-17.60012,325,641.438534
17.794111,113,647.099122
-202.16936,1252,648.104093
-0.3088401,207,658.485131
-4.8201666,310,658.485196
-18.4,2,658.726939
-49.323086,194,658.903706
21.082842,38,660.855711
17.8,96,664.240434
16.4,123,667.420693
19.725483,68,667.819653
21.917156,32,669.079234
17.014214,65,672.161894
-6.2201557,264,672.678546
7.165694,103,673.012163
15.282847,89,677.556798
0.36567003,142,681.169228
-21.46863,33,682.892637
-28.799995,93,687.512554
-7.503004,283,691.887672
14.16569,95,692.157338
-32.820087,138,699.220026
-143.65384,697,708.485472
6.53139,193,708.62935
21.165686,73,712.345974
4.682849,117,714.431851
21.73137,53,715.240296
-22.800001,23,716.249026
9.062756,154,723.75897
-85.668274,617,723.923967
19.599998,43,726.075198
5.6568727,202,726.99613
17.579899,138,730.90871
12.365694,145,733.375398
-52.288784,238,738.860731
-35.834305,152,741.616026
2.8142097,213,742.469769
14.034318,73,746.408438
22.882843,25,747.701263
-44.440212,214,752.625223
-46.82013,153,755.051715
-33.50895,349,757.098845
13.731377,127,758.875856
15.965686,107,760.448173
18.0,51,763.235735
13.697064,92,763.823279
-32.668625,96,768.051734
-37.26862,135,770.546676
17.8,97,772.842354
16.614214,105,777.862316
9.097069,154,778.034072
-92.70298,430,779.020416
21.365685,55,781.508708
21.765686,32,783.307726
9.965702,214,789.765902
21.282843,58,792.534159
20.379898,46,794.729151
0.808297,234,795.058929
-21.73137,21,796.302426
15.7799,52,798.813039
4.2485404,184,804.18545
14.800004,64,807.326227
18.965685,46,809.645311
-2.7029793,240,810.881524
9.400014,143,816.886405
17.062744,58,819.790289
-0.18582268,244,823.154507
-21.985786,59,826.091214
-20.834314,14,826.85147
7.897069,150,827.447589
-205.23866,1011,831.090811
19.117157,65,831.090862
19.0,63,834.662975
-38.30294,108,837.281669
19.482841,46,837.374064
-0.45443648,218,839.460696
-26.854416,87,842.400927
-18.482843,3,842.671321
20.7799,39,844.617079
14.614222,131,844.854414
5.165689,134,847.088474
-21.034315,22,848.403583
-30.399988,142,852.864868
14.379906,115,858.732665
16.497057,79,862.697363
22.0,17,863.577069
-81.254555,416,866.652738
17.55147,95,868.485779
-24.434315,52,869.445112
-82.48301,446,871.469377
-26.199997,79,873.476363
-27.268625,89,875.85504
11.400005,79,877.448434
11.24854,207,879.537268
18.414215,50,882.462305
1.6141956,193,886.766307
22.648527,25,888.039374
-28.068623,134,889.385846
4.4450674,253,891.351798
18.448528,48,893.684572
15.31716,125,894.341157
15.697058,131,895.950902
23.297056,25,897.169807
11.331378,108,898.953996
13.800003,65,900.302018
11.600008,129,900.648662
-23.365686,68,902.416719
18.082842,93,905.461657
-22.248528,22,906.663829
14.848533,149,908.082557
-23.551472,53,909.364857
13.379906,141,909.815088
16.44853,62,911.513383
-19.4,6,911.873598
-27.97157,87,914.386333
17.13137,61,915.44798
-37.751465,99,915.711484
17.199999,96,921.393877
14.965688,57,924.528314
21.765686,53,927.253149
-56.74323,276,930.903096
15.082848,112,933.399309
-10.171651,338,933.638561
-34.517147,97,936.742766
-28.50294,92,938.746485
14.097059,118,942.855376
19.717157,44,945.085612
-8.365736,238,946.002867
-44.92307,145,946.142576
19.379898,44,947.259366
18.13137,51,948.73273
20.682842,58,949.009519
-23.785786,64,950.723106
-24.999998,63,952.809006
-20.8,11,953.532459
14.179906,114,955.702805
14.7799,54,956.843639
23.565685,22,958.125506
17.048529,58,961.335296
12.682852,161,964.524887
20.448528,64,964.672486
-21.68873,49,967.150846
12.359803,105,972.440259
17.394112,49,975.023796
-51.197613,486,977.232661
-14.020171,265,978.321263
14.179903,86,979.438369
17.297056,61,982.671317
-19.434315,12,983.332557
4.4284277,148,985.093549
-5.8000574,269,992.077543
-22.965687,45,994.47103
-44.36571,207,995.567516
-23.79176,292,998.503941
15.68285,120,1001.043777
21.482843,20,1002.111799
-45.5716,161,1006.696908
8.105402,215,1006.949807
-19.234314,24,1008.176228
1.4485157,180,1011.303314
1.8627366,167,1015.270106
15.676956,129,1021.619234
-21.468735,287,1022.313044
18.959797,76,1025.447959
1.1313674,163,1031.010364
-38.654415,166,1034.21471
-32.26862,95,1035.795959
-37.08283,227,1050.313366
-69.93149,285,1051.762861
17.214214,58,1053.158175
19.614214,42,1055.156948
13.394115,74,1055.375072
9.200009,103,1060.247356
13.200006,130,1061.497783
-186.70099,1115,1071.24619
-8.600051,211,1071.93984
22.482843,28,1073.45727
12.965693,141,1078.400597
