#{"t_start": 1654941495.6425216, "env_id": null}
r,l,t
-18.0,1,2.592308
-104.579899,430,12.356155
-183.414214,801,54.925894
-802.88873,4182,153.494539
-125.274517,867,176.371831
-27.214214,46,177.539505
-26.014214,89,179.550939
-36.020101,115,184.029678
-30.640202,109,186.871115
-31.668629,62,189.411464
-1.937258,165,192.711621
-44.694618,178,197.105457
-1.551472,178,200.76365
-108.143146,747,217.230912
-112.902944,738,232.236973
-87.860303,650,246.85485
-17.965685,317,253.707541
-41.737258,127,256.857749
-55.060303,213,262.383122
-57.557359,255,268.843484
-56.585786,250,276.134545
-8.971573,237,281.163358
6.248528,157,284.41912
-53.11127,199,291.204826
-78.440202,594,307.981141
15.779899,59,309.194477
-23.880404,324,316.784193
-80.791674,570,328.861088
11.959798,89,330.736677
-40.37746,188,336.203845
-20.2,10,336.482575
-232.048528,1130,366.606032
-51.080404,191,373.072319
-1300.674517,6430,626.288511
-28.08873,96,628.588153
15.179899,100,630.761984
1.6,228,635.933545
-25.620101,58,637.291212
-15.943146,242,642.327799
-79.868629,308,656.686975
-93.163247,469,670.561977
-44.17746,464,683.266755
13.228427,74,684.85828
16.545584,76,686.499677
-21.151472,24,687.115354
21.497056,34,687.828254
16.6,69,689.249403
18.374012,80,691.128175
-46.117157,149,694.949384
-38.08873,128,697.923941
18.62254,82,699.798266
-65.302944,273,706.656928
-101.317157,453,719.126423
-48.308831,207,724.821894
16.014214,75,726.364168
-49.371573,151,731.031757
1.582338,288,738.751575
-25.654416,47,739.992996
-6.640202,296,747.846197
2.456854,252,754.488871
21.262742,36,755.316662
19.325483,91,757.354025
18.448528,55,758.502708
18.048528,98,760.669016
12.125483,131,763.766692
1.228427,179,767.904504
-2.217662,297,776.905521
6.131371,242,782.739085
-36.454416,146,786.508581
-31.634315,90,788.993764
10.979899,182,793.255718
16.917157,94,795.305362
8.608326,150,798.939672
17.282843,47,799.90776
9.525483,108,802.108459
-67.951472,293,809.457061
-50.08873,195,816.256453
-206.508831,1075,849.612077
14.656854,140,852.831444
-75.785786,594,867.073076
-40.337258,134,872.267453
19.745584,47,873.216335
-108.203449,807,899.094656
19.525483,90,901.099089
18.048528,53,902.310264
-6.108831,268,909.469155
-18.882843,4,909.710917
-33.234315,134,912.902252
-155.985786,723,928.738268
21.242641,58,930.004495
11.974012,191,934.607997
-119.102944,548,952.328051
-26.060303,355,960.856312
1.988225,243,967.869957
18.579899,72,969.392506
-30.57746,132,972.762872
2.71127,263,980.951728
-41.425988,167,985.746821
14.559798,99,988.010226
17.682843,79,989.703626
-38.274517,192,995.788097
-23.897056,31,997.074058
-24.317157,50,998.394773
-70.554921,632,1014.518769
21.179899,45,1015.517174
-34.785786,184,1022.352179
