#{"t_start": 1656571669.5533838, "env_id": null}
r,l,t
-30.54558,52,4.086741
-30.54558,52,4.086806
-19.082842,4,4.326136
-19.482843,5,4.409945
-32.34558,59,4.577842
-21.082842,13,5.269784
-36.999992,91,9.339874
-39.63431,108,9.489777
-42.7858,123,15.944506
-85.11732,353,28.383167
-803.0363,4152,223.454747
-851.3705,4178,237.928582
-807.80237,4182,248.789968
-173.33029,766,273.685709
-41.517162,120,279.547851
-31.682837,74,283.138872
-78.5114,280,297.834943
-322.30475,1778,312.406931
-32.49705,76,316.623259
-101.08867,443,320.900378
-171.48183,779,355.619498
-118.03402,502,380.230826
-285.9376,1632,400.365164
-10.888775,218,410.128339
-24.303051,292,423.232409
-225.30101,1069,429.19408
-1.5230725,199,432.667985
-27.385784,67,435.795957
-24.282843,31,437.330314
-837.81647,4146,448.920858
-69.06287,284,450.25952
-35.66862,105,454.07294
-24.682842,34,455.744935
-97.27695,401,474.898319
-119.65347,737,486.083693
-22.917158,26,487.422339
-39.248528,128,493.95415
-32.75146,111,499.528068
-126.413765,550,527.221839
-19.117157,8,527.640606
15.511272,81,531.535418
-26.902943,72,535.097993
-21.420212,287,548.633308
-32.31732,400,566.979217
-21.50304,286,580.484635
-600.58954,3179,582.307497
-33.98578,99,585.370894
15.7598,76,586.026646
23.33137,44,587.591351
-434.5601,2426,593.243287
-25.999998,45,595.503028
-50.37161,199,596.082961
18.048527,38,597.447328
-20.4,21,598.537565
-1.6059135,171,605.084042
-36.951466,93,609.854056
-40.151665,435,610.057353
-24.117159,35,611.839799
-40.000008,134,616.488932
8.131388,167,624.280189
-23.7658,313,626.776313
-38.399998,103,629.459728
-1.0887425,141,633.841063
-21.331371,17,634.750099
-32.654404,111,635.107723
-12.917212,232,646.864333
20.945583,44,649.092627
-74.46288,310,650.516964
-22.434315,33,650.809442
-19.082844,6,650.920299
-240.4181,1120,655.006144
-42.86866,184,660.081328
-66.69717,267,668.102361
-87.31728,380,669.833619
-27.165686,39,670.147632
-60.151554,261,673.120494
6.897066,104,675.147635
-27.545582,43,675.341527
-39.985786,105,675.532094
-23.082844,25,676.70426
19.248528,50,677.731859
19.648527,64,678.283224
22.1799,36,678.453944
22.648527,29,679.847541
19.111269,73,681.345849
13.062748,112,683.887439
-12.137328,250,692.31178
-19.751472,11,692.909912
-41.662754,115,698.706206
11.965691,86,703.118521
18.994112,74,707.114434
-165.70186,817,722.495161
-30.36568,92,726.903075
-96.18579,459,729.590029
-2.5372822,192,738.698633
-73.41434,322,742.358746
-185.68071,1194,743.049169
14.69706,105,747.505189
-19.502998,254,755.361939
-121.50253,557,774.515356
-156.01335,752,775.351641
12.41422,117,780.829976
-44.66875,382,792.90696
-68.10304,265,793.747217
1.4485176,152,801.313793
-26.13137,36,803.189503
-26.15147,45,805.482499
-72.44865,277,806.952174
-31.51715,69,810.475179
12.634319,130,816.482415
-17.60009,282,819.039147
10.662751,90,820.681821
12.54559,81,822.84713
15.214217,63,823.698073
16.648531,55,825.710962
-34.95146,87,828.291404
20.765686,58,831.349452
-45.351494,140,833.127271
20.365685,60,836.222145
-376.3825,1800,844.167733
-110.03938,778,884.769727
-31.102936,126,891.422881
-172.10184,804,932.955475
21.828426,59,935.814878
-356.89294,2000,939.598606
14.579902,65,942.673828
10.931384,155,943.329642
16.428429,95,947.777666
6.282854,130,948.877619
18.745583,94,953.588981
-12.117248,327,970.40212
-128.28833,530,974.931929
4.2970543,165,978.723335
0.56567,175,987.087679
-39.757538,436,1007.915189
-20.502945,73,1011.558482
0.69115907,216,1022.242762
21.628428,60,1025.119605
8.21423,159,1032.742417
8.345595,135,1039.176872
-81.87409,605,1067.934182
