#{"t_start": 1657201190.4436486, "env_id": null}
r,l,t
-27.111269,38,5.251894
-28.19411,40,5.40619
-28.19411,40,5.406248
-24.365686,35,7.202421
-23.965687,34,7.307221
-24.565685,35,7.409309
-26.302944,38,9.357718
-26.302942,38,9.485476
-27.302944,41,9.783425
-19.965685,8,10.028655
-20.365685,8,10.171223
-20.165686,8,10.474177
-20.668629,13,10.966183
-20.668629,13,11.065432
-20.668629,13,11.331115
-20.565685,9,11.647766
-20.931372,11,11.750055
-21.13137,12,12.152024
-21.365685,12,12.480884
-21.365685,12,12.588722
-21.365686,12,12.966796
-19.965685,11,13.237167
-19.965685,11,13.344979
-19.965685,11,13.718014
-22.53137,19,14.454847
-22.048529,24,14.724048
-19.4,4,14.724097
-22.73137,20,14.944831
-19.4,5,15.100596
-19.0,4,15.260926
-24.454416,37,17.232465
-19.434315,7,17.666286
18.745584,74,18.879512
-23.682842,28,19.207821
18.745583,75,19.323959
-19.634315,7,19.433131
-19.434315,7,19.814934
-24.1799,30,21.14277
-24.1799,30,21.503127
19.66274,66,22.960641
20.06274,64,24.452288
19.862741,66,24.88263
19.331371,43,25.165786
-21.117157,24,26.391433
19.614214,42,26.695874
19.53137,42,27.177259
-21.8,14,27.297698
-18.8,4,27.573524
-20.834314,23,28.529239
-23.862741,24,28.913591
21.097055,40,29.126411
-22.4,16,29.589509
-21.634315,14,29.888186
-18.8,4,29.888246
-22.2,15,30.204627
-20.4,8,30.490057
-18.8,4,30.490103
-20.565685,13,31.188261
-23.462742,29,31.641078
-23.262741,28,32.071706
-21.234314,13,32.483718
-25.151472,27,32.884095
-20.4,8,33.074615
-21.434315,14,33.074662
-20.4,8,33.574345
-20.73137,12,33.740448
-21.165686,13,33.954128
-20.565685,12,34.391603
-21.517157,13,34.607466
-25.35147,28,35.557747
-25.151472,27,35.90855
-21.13137,13,36.349679
22.014214,33,36.487694
-21.331371,13,36.784369
-21.151472,13,37.220958
-21.151472,13,37.598287
21.331371,20,37.78916
22.014214,33,39.111452
22.097055,32,39.407457
-24.945583,30,39.501842
21.248528,20,40.279232
23.6,19,40.655757
21.331371,20,40.655805
-21.46863,16,41.742113
-25.385786,30,42.290511
-21.682842,18,42.820584
-27.868628,40,43.190418
-20.448528,10,43.473298
23.6,19,43.473346
21.4,19,44.527542
-21.46863,16,44.631617
-21.46863,16,45.445005
-21.682842,18,45.642134
-20.448528,10,46.236579
-21.882843,18,46.536268
-20.448528,10,47.106979
15.8970585,68,47.599955
-29.497055,47,50.176743
14.614217,74,51.13492
-23.102943,24,51.470961
-34.58578,98,51.674701
-23.2201,37,53.556312
-30.297054,49,53.963659
-31.097054,52,54.702051
-23.3799,24,55.066045
-22.702944,23,55.357243
-22.902945,23,56.022667
-22.614214,19,56.187424
1.0627413,35,57.35116
-23.26863,22,57.478025
1.4627414,34,58.099151
-20.117157,12,58.255929
-22.13137,16,58.477504
-22.13137,16,59.125032
-23.414213,20,59.667935
-24.034315,29,60.020313
-22.414213,19,60.310787
-19.565685,7,60.506631
-23.06863,21,61.017973
-19.717157,11,61.691546
21.945585,33,62.52849
-29.828424,43,63.064241
-19.917158,11,63.723156
21.014214,40,64.162491
22.53137,29,64.346686
-19.965685,8,64.635215
21.014214,40,65.842665
-19.765686,8,66.282285
21.945585,33,66.372222
13.882846,65,67.724395
22.53137,29,67.85441
21.745584,33,68.050993
-20.0,13,68.486018
22.365685,29,69.544728
21.497057,35,70.3042
12.76569,72,71.683177
-20.082844,5,72.006157
-28.511269,40,72.574805
-18.917158,4,72.846745
-22.448528,16,73.752985
11.882847,75,73.85076
-20.365686,8,74.321867
21.297056,37,74.321915
-20.0,13,74.684956
-20.0,7,74.798949
-28.19411,39,76.612177
-25.171574,33,76.714399
21.297056,37,76.931183
-19.117157,4,76.931231
-21.448528,15,77.605294
-18.965685,4,77.915701
-22.53137,16,77.915752
-19.751472,9,78.518092
-20.448528,10,78.625798
-19.917158,7,79.088211
-27.911268,38,79.419743
-18.917158,4,79.689948
-26.262741,30,80.525766
-22.848528,17,80.821822
-20.765686,10,81.213559
-24.971573,33,81.311008
-20.448528,10,81.527764
-20.0,7,81.977609
-21.248528,15,82.299194
-19.165686,5,82.642324
-22.214214,22,82.754363
-19.751472,9,83.313049
-24.771572,33,84.124476
-21.248528,15,84.973813
-19.165686,5,85.335819
-25.614214,37,85.585625
-19.751472,9,86.003782
-20.965685,10,86.297923
-35.551464,72,87.293899
-22.214214,22,87.620816
-21.034315,12,88.075363
-21.448528,13,88.905861
-27.731369,67,90.110799
-28.35147,45,90.392299
-20.765686,10,90.787973
-26.53137,34,91.015315
-20.634315,11,91.208086
-20.4,9,91.658497
-22.614214,17,92.305402
-28.297054,42,93.43281
16.765686,70,95.637259
-27.75147,43,95.846472
-20.834314,12,96.594127
-38.014206,92,97.634408
-24.571573,34,97.811471
-18.682842,4,98.107852
-25.062742,26,98.340634
-20.234314,10,98.43883
-20.848528,14,99.011244
-23.151472,52,101.244774
17.165686,56,102.050904
-19.0,4,102.345101
-20.551472,12,103.103848
-36.814205,87,103.381897
-20.668629,39,103.706461
-20.4,9,103.978331
-18.882843,4,103.978381
-23.462742,24,104.59305
-20.848528,14,104.777769
-20.551472,16,104.921997
-24.371572,34,106.704953
-18.882843,4,106.978154
-25.117157,40,106.978203
-19.2,4,107.262307
17.579899,56,107.849484
-20.64853,13,107.84953
-20.46863,13,108.136287
-23.634315,26,109.322163
-24.151472,24,110.689059
16.565687,60,111.242938
17.965685,57,111.328804
-19.0,4,111.561747
-21.902945,19,111.887609
-20.551472,12,112.349543
-21.917158,15,112.797367
-23.662743,25,113.693416
-22.971573,29,114.3734
17.579899,56,114.635332
21.814213,33,116.205771
-25.117157,29,116.205819
17.579899,56,116.890721
-24.185787,25,117.693579
-24.634315,28,118.506055
-22.102943,20,118.8714
-21.834314,15,119.762841
-24.185787,25,120.031245
-31.428421,76,120.739778
-21.902945,19,121.187761
-20.717157,10,121.419872
-23.171574,29,121.622985
-21.834314,15,122.170566
-21.53137,14,122.333695
-23.351473,26,123.746598
-23.171574,29,123.839753
-22.902945,39,123.926532
-21.448528,17,124.850087
-22.614214,21,125.158311
-23.24853,22,126.413566
-27.794111,47,126.789416
-24.2,34,126.96509
-20.8,10,127.213289
-20.6,9,127.512149
-21.53137,14,128.137634
-21.73137,14,128.441712
-26.062742,30,129.041712
-23.751472,27,129.886094
-23.751472,27,130.188449
-23.097057,21,130.447749
-19.2,4,130.733275
-19.4,5,131.077783
-21.848528,18,131.230339
-21.53137,16,131.380786
-22.7799,21,132.317416
20.53137,26,132.723734
20.331371,27,132.943438
-22.73137,18,133.436096
-26.062742,30,134.637883
-26.462742,31,134.925869
-25.751472,35,135.625468
-22.897057,21,135.989972
-19.2,4,136.316946
-22.897057,21,136.317007
-19.282843,4,136.583179
-19.4,5,136.68246
-19.6,4,136.883289
-24.579899,35,137.868596
-22.7799,23,138.022918
-22.579899,24,138.265702
-22.73137,18,139.047945
-22.73137,18,139.30564
-24.86863,34,140.92359
-25.468628,35,141.220877
-24.1799,34,142.807778
-24.3799,31,142.950968
-37.628418,91,143.040687
-26.959797,38,144.950927
-27.84264,42,145.323515
-23.097057,20,146.400566
-22.931372,22,147.557515
-37.49705,89,147.915875
-24.082844,25,148.964312
-38.09705,92,149.969118
14.1313715,59,151.080889
-25.751472,41,152.154397
-23.882843,25,152.472283
-29.26274,78,153.178567
-23.482843,24,153.537104
-28.102943,48,155.817539
-21.897057,17,156.8391
-19.6,8,157.304736
-21.6,13,158.099106
12.834321,104,158.397099
-21.848528,14,159.209712
-22.497057,18,160.255178
-19.682842,8,160.733375
-27.234314,46,160.831655
-21.634315,14,161.610498
20.297056,48,164.046765
17.979898,63,164.186883
21.331371,35,165.974522
-22.185787,21,167.114919
20.379898,60,167.250287
21.53137,34,169.080676
-25.971573,38,169.233034
-21.985786,21,170.290991
-20.0,24,170.611573
-20.248528,9,171.129623
-25.971573,38,172.450078
-26.014214,34,173.041433
-20.117157,25,173.856732
-20.64853,10,174.415497
21.331371,37,175.039322
-95.64858,391,175.302643
-19.082842,4,175.302691
-22.53137,17,176.283944
-25.897057,34,176.389853
-22.697056,18,177.386338
-19.682842,8,177.845561
21.014214,38,178.63251
-21.565685,13,178.63256
20.262741,59,178.837635
-20.931372,15,179.651755
-21.248528,12,180.320934
-28.034313,45,181.137179
17.64853,52,181.539893
-24.28873,33,182.132441
-20.06863,13,182.855214
-18.8,4,183.129228
-24.220102,32,183.37784
-21.331371,16,184.253557
-23.4,26,184.604357
17.979898,63,184.736048
-21.248528,12,184.989396
21.814213,33,186.654397
-24.08873,32,186.861868
-28.71127,41,187.096385
-18.6,4,187.346336
-20.151472,13,187.722441
-18.717157,4,188.007371
-22.185787,21,188.113768
-22.800001,24,189.397681
-25.8,41,189.8055
-26.571573,40,190.410498
-28.511269,40,191.795663
