#{"t_start": 1656758773.1581383, "env_id": null}
r,l,t
-146.78508,650,31.469231
-150.18504,651,31.550524
-148.78508,653,31.67664
-65.46846,462,52.755852
-66.18561,466,53.208622
-69.78556,483,54.083748
-29.599997,58,56.487029
-40.66863,141,61.606485
-37.697052,108,67.30424
-54.014263,213,67.717493
-18.082924,264,79.821772
-17.082928,259,79.943583
-7.385821,166,87.333903
-7.0686617,165,87.42399
-24.531372,54,89.864629
-25.331371,59,90.18157
-112.7363,794,91.802883
12.682848,116,95.896477
11.882849,121,96.537122
-24.502943,52,98.782584
-23.502943,47,99.165391
6.2485447,222,103.720233
14.51716,101,109.001257
7.131379,94,113.896986
-33.800144,345,130.270104
20.565685,77,133.836283
-25.117159,64,136.827314
-161.722,812,139.064834
-37.502945,120,142.923695
-181.8045,911,143.886785
5.014229,202,150.076796
10.4142275,185,154.317483
-77.78595,357,168.460726
18.53137,35,170.101578
-79.985954,367,172.481047
12.082848,78,173.739232
18.248528,37,174.266964
20.482841,37,176.158708
-38.11715,172,184.276375
-19.931372,10,184.835774
-6.151503,234,185.130054
-20.614214,12,185.788843
-149.20451,954,191.255404
-46.214233,155,192.665898
-47.214233,156,193.657625
-49.737297,211,201.721495
-57.971634,222,203.693701
-89.65455,378,212.312598
-41.92321,421,224.494733
-20.165686,16,225.300274
-41.44036,429,233.255559
21.0,41,235.217149
-533.2342,2859,339.717991
20.13137,27,341.021159
-9.634364,188,350.106745
-0.35148734,215,360.467969
-81.683,337,377.018552
-35.53136,88,381.546855
-79.97172,339,398.535624
-38.123196,402,419.179462
-778.095,3820,421.492032
19.199999,49,421.688148
-820.78033,4033,421.914958
-48.46866,156,429.794064
-32.53739,374,440.479952
-33.137398,378,441.017648
-75.06876,352,447.391225
3.4627445,153,448.783606
0.66273576,167,449.088417
-23.331371,37,450.957055
-22.931372,35,451.108772
16.697058,53,453.562895
16.497057,53,453.719979
8.711283,151,461.195081
7.511285,158,461.494252
14.814218,132,467.7032
14.331375,134,468.217214
-42.24021,128,475.336969
-44.04022,136,476.277092
-40.751476,138,482.784551
-55.034378,229,489.050915
-61.331448,209,495.26325
-20.585787,16,496.217933
12.745589,85,500.489857
-1.73728,254,502.922677
-20.385786,17,503.92387
18.462742,56,506.611983
11.717169,149,507.8675
21.262741,82,511.829982
18.517157,115,512.20314
-23.6,29,513.338684
21.1799,82,516.24955
-62.22018,246,525.106926
20.414213,42,527.10047
22.482841,51,529.551404
-58.357445,300,545.665688
17.945583,79,549.51814
-413.5445,2239,563.670919
-86.234474,426,571.521951
-29.820248,390,591.706107
-45.04855,193,601.210325
-18.834396,264,613.997117
-449.92398,2179,626.096857
-23.702944,78,629.921461
20.097055,44,632.1044
