#{"t_start": 1657021815.3003602, "env_id": null}
r,l,t
19.317156,102,8.434514
19.317156,102,8.434566
19.317156,102,8.434583
15.876965,157,17.144999
15.759806,158,17.252204
15.676964,158,17.252268
21.339697,83,21.40951
20.822538,85,21.551265
20.422539,87,21.806197
18.111269,120,27.928857
17.911268,121,27.92892
18.111269,120,28.123233
21.394112,78,31.741439
20.994112,80,31.897391
21.194113,79,32.053514
17.248528,178,40.518571
17.365685,178,40.669465
17.048529,179,40.877467
19.731369,85,44.772366
19.33137,87,45.108666
19.13137,87,45.39145
-24.517159,55,48.68432
-33.365673,110,52.224532
21.945583,76,53.231877
22.028427,76,56.153136
-21.717157,64,56.58634
14.379915,233,58.399997
-21.8,64,59.667403
-18.917158,65,60.112874
21.945583,77,62.448843
-20.317158,52,62.799725
-19.117159,66,63.213329
-21.517159,63,65.744525
19.66274,109,68.411918
-19.2,66,69.168426
21.048529,137,70.264368
-19.917158,50,71.713297
22.779898,30,71.808944
-20.117157,68,72.029105
-21.917158,62,74.972439
-21.917158,66,75.287761
-20.040203,96,77.041204
-20.6,72,78.85177
-22.523045,94,80.311159
-21.923044,91,83.602534
18.965683,145,84.65344
-19.882843,11,85.321493
19.165684,143,87.742245
-19.8,11,88.38247
20.24264,86,89.773615
18.965683,145,91.137043
-20.082844,12,91.806851
19.84264,87,92.873847
17.814215,101,94.946177
18.04264,87,96.410966
20.53137,97,98.13211
19.50538,115,101.263368
18.331373,98,101.832412
18.788223,119,104.592082
19.188223,116,107.984204
19.131369,128,108.215428
18.731369,130,111.620827
-20.0,70,112.134025
18.731369,130,115.154188
21.91127,59,115.303118
-21.282843,72,115.622483
-24.2,29,116.853698
-22.28873,29,118.346133
21.994112,59,118.75785
-20.4,71,119.058974
-24.0,29,120.323379
-22.054417,30,121.867816
21.91127,60,122.206843
18.965683,127,124.869847
16.082848,83,126.237458
20.765684,117,127.643866
-22.054417,30,127.813317
-24.400002,79,128.920478
21.014214,62,130.767631
21.014214,62,132.025213
20.765684,117,133.721454
-21.523045,83,134.994877
21.014214,63,136.775745
19.97401,108,137.422689
20.682842,56,137.828019
18.8,56,140.258161
19.876953,85,142.072853
20.056854,108,142.309009
