#{"t_start": 1656927643.6739788, "env_id": null}
r,l,t
15.165694,138,11.482497
14.765695,140,11.754633
14.565695,141,11.96429
17.719595,167,20.830051
17.519594,168,21.072056
17.519594,168,21.228572
23.331371,23,22.241757
23.331371,23,22.534746
23.248528,23,22.710011
21.159798,140,30.551962
21.159798,139,30.753478
21.359797,139,30.901475
17.388227,163,39.842266
15.788231,161,40.008914
17.388226,163,40.172668
16.127928,177,49.407943
15.927927,178,49.408007
15.527931,180,49.555728
21.13137,35,51.224445
21.248528,35,51.224496
21.048529,35,51.357617
21.6,95,55.99781
21.4,97,56.266724
21.4,97,56.485187
20.7799,105,61.64805
20.697056,105,61.897817
20.414213,106,62.151815
14.933814,125,68.04145
15.133814,123,68.041503
14.933813,124,68.296353
17.49117,141,75.126982
17.491169,141,75.127033
17.69117,140,75.303488
19.62254,77,79.080612
19.422539,78,79.313742
19.62254,77,79.550117
16.782341,192,89.788618
16.182344,194,90.017471
16.182344,194,90.141776
-21.102943,58,93.00721
-21.102943,58,93.355449
-21.502945,60,93.502218
17.462742,179,102.652844
17.46274,179,102.98583
16.862743,181,103.264672
-317.72272,1644,181.683961
21.262741,41,183.775264
22.028427,112,189.410367
20.608326,69,192.867021
-19.68873,112,198.937487
19.66274,64,202.070659
-18.282843,1,202.318449
22.33137,35,204.073726
-21.6,23,205.515593
17.939695,123,211.785889
18.071068,101,216.933786
14.996551,209,227.819629
16.588228,188,237.578814
19.697056,47,239.915077
-20.317158,110,246.536361
23.848528,20,247.539094
19.117157,31,249.067858
15.731373,160,256.724627
17.091173,134,264.399459
15.236756,181,274.140896
-642.5776,3498,278.86188
21.379898,39,280.854983
22.028427,112,286.470384
19.808325,73,290.127623
-20.08873,114,296.335477
-235.05235,1126,349.410298
-18.2,1,349.65955
22.53137,35,351.904641
-21.517157,23,353.373657
18.139696,121,359.768672
18.271067,100,364.854473
-1016.6799,5358,371.82325
22.66274,34,373.689585
15.596551,206,376.810629
21.828426,112,380.384971
21.008326,67,383.911183
16.188227,190,387.642962
19.814213,47,390.151269
-21.771574,121,390.896814
-19.551474,107,396.673096
23.848528,20,397.654385
19.4,30,399.185446
14.765688,165,407.202085
16.691172,136,414.857897
15.036756,182,424.199894
-207.13567,985,441.141199
-18.2,1,441.389913
22.53137,34,443.110929
-21.517157,22,444.495112
17.939695,122,450.708678
18.388226,100,455.820216
17.479393,208,466.769309
15.788228,192,476.770286
19.697056,48,479.185211
-19.434315,106,485.561547
23.848528,20,486.57173
19.517157,30,488.07386
16.965685,164,496.09665
16.891172,135,503.251819
15.636754,179,512.506429
-539.7719,2870,569.126
-197.83807,1160,569.51825
-1126.3362,5803,569.767066
-21.908833,66,572.676501
-22.308832,66,573.13724
-22.108831,65,573.38459
17.628428,134,579.839249
17.828428,133,580.208273
