#{"t_start": 1656683569.3775065, "env_id": null}
r,l,t
-32.468624,94,5.830053
-36.468624,109,6.619154
-36.068623,110,6.720829
-39.454426,127,12.837046
-51.654453,176,15.277158
-57.45447,197,15.555369
-35.428417,81,19.569717
-39.028427,95,20.068492
-48.628456,166,21.092205
-74.43443,282,33.993868
-101.745514,407,53.243548
-50.331413,166,60.87139
-293.47546,1622,94.445916
-291.67538,1613,94.445967
-87.94572,347,111.021623
-88.14571,349,111.17066
-257.01184,1182,115.615027
-342.01538,1639,188.962073
-151.9364,668,221.294704
-20.048529,14,222.050074
-483.1281,2563,233.787577
-105.15135,434,255.100188
-785.2753,3879,302.17623
-81.12258,599,330.204079
-69.62022,282,343.559262
-855.47986,4230,455.807839
-490.5063,2428,458.758632
-5.020137,166,466.589268
-1157.3309,5969,507.015163
-302.24164,1705,537.727304
-690.64087,3384,696.744237
-24.331371,59,699.708632
-4.020133,162,707.079894
-1146.5033,5647,773.649985
-407.1619,2007,802.36683
-58.10302,222,812.490871
-77.31682,570,838.887051
-310.93048,1570,847.029985
0.17988205,141,853.708731
-1812.4323,9023,892.734104
-48.302975,162,900.214163
-170.29285,1079,904.561462
-9.903001,193,913.493636
-407.37003,1967,931.396559
-179.56445,845,940.230189
-57.337322,227,942.477293
-31.634308,90,946.76013
-157.56482,728,948.307798
-27.999998,50,949.390255
-32.3173,325,963.64927
-46.06874,412,969.071368
-0.23432846,148,976.262939
-27.4402,95,981.008638
-7.5372972,168,989.112193
-128.21902,800,1027.094286
-354.60428,1937,1032.977736
-36.117317,387,1045.891076
-337.90598,1899,1055.760906
-49.62019,457,1055.905156
-49.034348,217,1066.876234
-50.034355,223,1067.138225
-34.351463,118,1073.004451
17.014215,97,1077.803362
-50.717205,183,1086.746359
-31.32304,86,1091.044554
-102.70804,702,1101.401309
-31.937386,290,1105.055699
15.579901,104,1106.427689
-265.7004,1238,1107.378791
6.9799128,133,1113.413949
-10.137306,200,1114.355498
-33.40013,314,1120.867969
-31.72304,103,1125.911048
-10.317203,247,1126.043772
-75.385475,510,1137.821842
-134.61954,585,1153.816466
-45.26872,366,1155.121574
-33.199993,78,1158.832505
-13.054473,234,1165.319568
-186.50159,862,1167.586339
-39.64853,173,1173.919946
7.0627556,132,1174.145087
-42.620113,146,1181.266655
15.931374,60,1184.275356
-223.70113,1047,1225.865237
12.29706,104,1231.038445
8.3799095,99,1235.960685
-324.68866,1554,1236.058952
15.965687,60,1239.040526
-27.971571,78,1240.046757
-26.082842,42,1241.362837
-29.28284,54,1244.234084
-52.137302,192,1250.192384
-3.8059132,201,1254.627917
-55.937317,195,1265.182117
-72.88885,333,1267.901416
-54.31721,185,1277.419911
-373.34854,1837,1277.883865
-99.88875,472,1289.922297
-65.979996,254,1290.944434
16.000002,61,1293.122488
-83.93153,325,1295.110294
2.9313688,114,1297.018861
-22.0,19,1298.131767
-82.58006,341,1312.077103
18.814215,46,1314.681938
-52.25445,174,1324.229302
-206.40424,945,1349.477983
-179.604,1079,1353.640507
-60.337322,215,1365.347258
-35.391827,362,1368.868296
-0.6603222,235,1381.116371
16.614214,49,1383.746275
-35.84852,87,1388.477464
-94.08871,444,1388.815541
-49.48288,164,1397.399915
-36.931362,144,1404.975606
12.848534,76,1408.983443
-69.199745,504,1415.123131
-32.88283,116,1415.302342
-57.20594,193,1425.917956
-19.468714,247,1428.642492
