#{"t_start": 1657540305.4311693, "env_id": null}
r,l,t
-36.95146,98,7.41469
-68.41431,254,21.371993
-59.60005,205,32.326103
-51.131416,190,42.146042
-217.5416,1066,58.2997
-93.79171,439,80.739316
-346.62738,1664,88.71943
-234.3145,1315,149.001749
-23.73137,71,152.908491
-23.937258,37,154.968724
-298.5558,1463,165.393187
1.4342983,223,166.661103
19.0,48,167.981161
-24.171574,54,169.779378
-24.931372,62,171.537453
-24.800001,56,172.980253
-26.537256,49,174.471703
-24.800098,328,190.713757
-28.214212,61,194.176608
-638.8267,3352,217.266628
-36.165672,170,226.06732
-149.28207,717,231.075149
-5.5917025,202,236.550852
-39.43432,123,242.81437
-0.4259941,196,253.064238
-210.06697,1000,283.025415
-61.63439,221,294.089631
-146.71577,957,302.108837
-448.69193,2484,303.335701
-35.08872,106,308.770581
-26.868755,317,318.248079
-55.668697,206,319.215671
14.965691,108,323.823406
-39.971573,139,326.487629
-146.1708,676,328.699882
-27.502941,75,332.521825
-50.30298,221,335.322067
16.965685,81,336.766487
-17.00008,288,341.416366
-37.462734,96,346.341636
-61.20008,217,346.659172
-32.62009,107,352.164421
9.282851,116,352.44268
-98.85439,423,358.83133
9.291179,143,366.164454
-51.137253,443,389.063238
-107.60513,734,390.29971
-156.43346,732,390.467847
16.400002,84,394.772324
-106.53122,442,414.156841
-147.87631,679,426.47539
-75.82024,322,432.255515
0.79409295,203,443.032363
12.082847,105,448.595057
-212.25267,1004,449.419977
-41.000004,135,455.981431
-39.40589,140,457.091374
22.082842,47,458.645067
-136.5503,895,473.987933
-54.302944,438,481.182925
-55.254475,196,491.167265
-100.13659,678,492.082942
-89.84862,377,493.340456
-50.531418,201,502.468276
-67.24863,246,506.132426
-87.04867,363,510.224894
-32.034447,368,525.546725
-86.38003,321,527.308584
-57.66853,519,530.027781
-1.2603161,203,537.544638
-22.288826,302,541.140224
-26.971571,82,541.923866
-34.282833,113,547.038408
-78.76583,348,559.84783
-74.40012,287,561.944759
-91.599434,633,562.746175
-39.220108,138,569.007433
-51.171608,200,570.241942
15.800002,79,573.05554
-38.10294,142,580.771744
-68.90305,279,595.361181
-91.565125,645,604.205151
-48.02845,198,605.796013
-198.76425,891,609.50378
-39.303104,352,622.585814
-83.434494,365,624.759457
10.117165,128,629.258769
15.697059,108,630.492961
-33.88872,75,634.74127
17.165686,77,638.800431
-2.757394,214,649.808219
-129.29665,617,661.446577
-70.93737,286,664.334209
12.000005,76,665.346753
-37.102936,99,670.609417
-217.5147,1315,678.089109
8.882858,192,680.790853
-25.654413,76,682.132197
-62.965748,224,693.640896
-81.999504,641,697.914004
-21.8201,57,700.867954
11.682849,81,705.038808
-59.785854,230,705.613502
20.165686,26,706.576065
-24.185787,28,708.113436
5.517166,136,715.035727
22.517157,26,716.399012
-66.0202,273,719.790971
17.931372,90,720.971756
15.517161,71,723.378551
-42.902954,155,731.46079
-35.503082,327,737.936964
-190.70093,1140,739.985145
15.800001,107,743.686963
16.297056,105,745.677539
20.882843,33,747.465243
19.66274,66,750.953922
