#{"t_start": 1657866405.2938845, "env_id": null}
r,l,t
-24.13137,28,3.980494
-24.13137,28,3.980544
-24.331371,29,4.074667
-23.751472,27,5.420621
-26.75147,41,6.285947
-308.9506,1461,84.820918
-341.49753,1609,94.788544
-336.69717,1599,95.12003
-50.579933,163,104.183405
-94.9515,388,106.906174
-65.054504,241,119.306375
-107.579735,458,119.718413
-41.171577,126,126.119337
-34.620243,337,136.619649
-60.014297,250,139.042095
-118.52219,782,144.430807
1.1999893,159,147.236988
-14.58586,261,150.126361
-36.39999,140,151.773802
11.200007,118,153.481088
9.034324,109,157.88736
-29.654411,104,159.320685
-68.14569,240,163.532197
-32.731365,97,168.449093
-46.48285,210,170.40215
-40.199997,155,176.048754
6.014224,116,176.048805
-44.082973,395,178.559831
-71.02022,292,192.512034
-76.985916,311,193.620711
-69.9859,275,194.130457
-26.185785,44,195.084737
15.11716,89,200.048135
-40.979908,129,201.455234
16.214214,86,206.116365
-6.082904,246,207.382635
11.097067,132,207.382696
15.897058,87,211.802096
17.297056,95,212.264645
-44.50296,169,214.93745
18.682842,65,215.763679
-39.302944,129,218.904308
2.0828247,190,226.435203
-427.59198,2087,332.340045
-413.39084,2018,332.451383
-44.01423,126,339.475693
-411.8252,2010,339.606897
-44.414227,127,339.731005
-29.385784,72,343.634529
-27.785782,75,343.950374
-46.351498,177,349.253505
12.9313755,107,349.341583
13.331375,105,349.54225
20.4,56,352.5476
20.4,56,352.761739
-41.882854,164,358.551926
7.082857,155,361.132452
6.8828564,156,361.425154
18.882841,68,362.383121
-25.55147,77,366.781826
-31.62009,118,368.18053
-35.420086,137,369.089147
8.000014,187,377.135658
12.1171665,105,382.814328
-70.15157,306,385.157538
-11.682902,241,396.562283
16.365688,119,403.137081
17.117157,78,407.411047
-41.351627,434,409.462175
19.448526,84,412.247542
-35.77156,132,419.577234
-46.420135,186,419.908799
10.862751,162,428.929819
-25.385786,60,432.254569
-9.600064,296,436.034126
16.365688,97,437.658371
18.965685,53,439.136404
-26.274517,112,445.47015
-1.0000298,186,448.324459
16.16569,120,454.870808
17.599998,76,459.139448
19.048527,86,463.855912
-34.57156,127,470.9409
-35.517147,152,479.111633
19.448528,51,481.880883
-28.39167,121,488.456902
-16.303017,307,505.588055
-30.131367,109,511.530138
-46.800022,195,522.102789
3.525483,181,531.826026
15.648532,102,537.438984
21.648527,19,538.491366
-632.914,3096,540.385828
20.897057,58,541.777131
7.482858,207,552.974105
-6.751502,251,554.114254
18.517157,44,555.479126
-2.3088706,208,566.292937
-15.805964,276,568.795499
14.882846,83,573.463635
17.234316,61,576.946386
-84.02026,354,586.047128
17.682842,38,588.102261
18.965685,84,592.545992
13.614218,109,598.13085
19.13137,70,601.769417
12.565692,144,609.193733
-83.96512,659,611.73414
18.614214,36,613.61437
14.834316,65,616.936076
5.6828556,193,619.215996
16.565687,88,621.645169
-650.45325,3261,622.420992
-5.708892,254,635.678813
-10.200062,278,637.752658
-43.274662,406,641.62233
-26.599997,105,643.460337
-42.000008,179,645.543786
-26.4201,73,645.699886
19.648527,50,648.274862
-23.0,64,649.190193
9.842652,149,651.758282
10.131381,110,657.489796
21.765686,18,658.455
0.20829552,205,659.320536
-30.91715,123,665.270813
-77.30308,329,666.992748
-30.917147,132,674.179074
8.682858,201,676.281958
18.917158,42,678.514418
-73.634445,367,679.429541
-47.434345,161,682.996614
-31.248522,121,686.033252
-31.717146,127,689.898288
-2.7088807,220,690.577792
-28.917152,116,692.518884
-42.220123,158,699.337074
9.842653,149,701.427941
-54.503,207,702.871341
18.882843,32,704.672364
-29.882835,97,705.06565
12.848535,106,707.39101
-21.737259,62,708.383177
21.848528,18,708.383237
16.482845,87,709.4715
17.165686,93,713.238012
-30.434309,109,714.145908
15.531371,109,715.254984
-25.523045,86,717.968515
19.214212,69,718.983845
21.082842,55,720.914595
21.882843,30,722.537087
10.882854,190,724.47382
19.034313,41,726.784652
5.965698,177,728.744974
6.448548,196,733.22051
-36.282833,137,736.068125
3.8083076,178,736.468011
14.779905,167,742.531672
-38.30294,129,749.738739
-68.98589,282,752.121323
19.082842,31,753.771282
16.082848,89,758.279515
-45.757442,418,758.882649
8.834329,181,759.372371
-22.317158,60,762.411022
-26.88873,72,763.47865
16.214214,106,764.422439
19.097055,70,768.167026
-38.985794,129,770.399183
20.648527,59,773.606057
13.565691,139,775.708113
-26.882961,333,780.364663
-34.234306,140,783.117353
-16.771656,293,789.589993
-23.951473,55,792.745691
-15.005958,269,795.413237
-62.551556,223,795.788567
-34.020092,111,798.792655
22.717157,24,800.024172
15.200005,96,800.823388
-38.68284,165,804.356464
17.697056,79,805.311432
10.765691,103,805.914855
-22.185787,45,807.856188
-26.702942,67,808.233263
-29.297052,79,812.71735
-30.379894,79,813.144678
11.642652,136,820.398119
-38.703125,422,836.012986
-37.77173,371,856.839271
-172.55559,1049,864.86442
-41.82011,156,865.71586
17.965685,52,868.042174
12.408336,132,876.346388
-181.86665,1156,887.157688
13.759801,120,893.767489
-32.985924,367,897.558996
19.814213,30,899.198057
-35.351463,113,900.054383
-151.83357,694,905.87806
10.422548,143,907.487314
21.082842,55,910.240128
-18.517239,239,911.568657
21.682842,31,911.911844
13.442646,121,912.195325
-35.882828,150,920.663575
-1.1515,184,922.904529
-84.29721,330,930.954822
11.622546,138,931.051786
20.882843,56,934.226904
21.882843,30,935.941072
-61.151558,280,937.016273
-35.12303,140,939.41011
18.13137,58,942.716908
6.2485485,197,947.675546
