#{"t_start": 1654967404.7311444, "env_id": null}
r,l,t
-62.268629,191,6.455246
-30.717157,54,7.583844
-20.882843,15,8.002009
-75.345584,260,15.001183
-105.988225,403,23.368157
-39.2,91,25.683639
-78.648528,302,32.786452
-31.731371,66,34.793437
-35.854416,109,37.25048
-313.371573,1520,70.141036
-69.240202,299,76.95142
-209.517157,945,98.962207
-29.448528,50,100.109545
-82.385786,339,107.80377
-58.51127,183,111.694627
-28.848528,64,113.535722
-47.497056,166,117.822381
-59.985786,225,123.220809
-23.2,26,123.898439
-84.225988,597,136.33366
-565.262742,2758,211.8523
-50.917157,151,214.932277
-18.254416,297,221.555228
-684.434315,3566,293.123192
-1.820101,208,297.476454
12.214214,100,299.482321
-167.020101,793,316.090173
-41.282843,169,319.596316
-30.702944,97,321.689249
-57.468629,195,326.898981
-3.917157,194,330.88614
-37.254416,138,333.856302
-58.205887,246,339.096657
-138.834315,657,352.448372
-11.151472,223,356.889372
-27.571573,290,362.526853
-69.6,494,372.11195
-58.034315,227,377.142273
-57.751472,199,382.570364
-68.634315,260,389.554747
-64.723045,531,400.776571
-21.005887,264,406.255859
-428.751472,2052,451.912783
17.131371,42,452.761276
15.048528,88,454.551967
7.779899,105,456.696556
16.862742,99,458.774835
-41.205887,144,462.257701
-39.625988,388,470.721533
-367.425988,2000,509.995938
10.228427,105,512.243495
-34.268629,95,514.453107
-11.102944,260,520.262367
-72.523045,322,529.106927
-69.917157,283,534.924336
-11.4,290,541.034837
-44.234315,170,544.863227
-23.702944,50,546.080956
-15.102944,266,551.861555
-14.323045,293,558.326447
-116.620101,539,570.684841
-271.931371,1329,597.4289
-515.820101,2549,650.592136
-9.420101,217,654.94754
-16.294618,272,660.913043
-6.123045,248,666.674928
-17.902944,293,673.483775
6.014214,151,676.567025
-25.717157,43,677.706247
-3.523045,208,682.228763
-58.379899,210,686.609257
-1.834315,173,690.064906
18.579899,60,691.323758
-39.185786,153,695.06245
-91.611775,421,704.703902
-75.654416,346,712.326971
-30.020101,67,713.784593
15.614214,48,714.756788
-19.834315,27,715.395197
-11.117157,209,719.917495
16.248528,49,720.922801
-36.11127,87,723.123409
-4.420101,229,727.998149
-56.917157,209,732.827892
5.008326,179,736.981107
19.717157,100,739.056326
3.165685,133,741.932922
-744.805887,3878,818.712484
-41.614214,120,821.755561
22.248528,15,822.086404
22.614214,29,822.701646
10.331371,75,824.202251
-55.702944,213,829.543425
19.0,65,830.876912
0.331371,234,836.189468
-32.220101,96,838.440673
-75.256854,329,846.660845
-30.620101,354,854.406136
-67.082843,239,860.246197
20.731371,38,861.050745
18.931371,33,861.754775
-21.034315,14,862.114435
-3.951472,196,866.281887
-24.931371,49,867.319381
-26.220101,43,868.314789
-76.702944,298,874.085973
-81.662742,394,883.303462
-10.565685,242,888.359015
-25.254416,43,889.26388
-24.565685,79,891.114979
18.648528,51,892.162616
16.765685,74,893.737077
-20.8,18,894.420667
7.076955,167,898.23822
-68.31127,307,905.241018
-29.717157,367,912.953425
-38.654416,167,916.721732
15.882843,84,918.421388
-93.331371,417,926.629043
8.71127,132,929.406282
-10.634315,254,934.645152
-68.351472,279,940.4062
-20.2,9,940.633505
2.642641,178,944.483289
-38.297056,87,946.980539
-25.137258,344,955.332527
-58.497056,271,961.385207
-31.0,67,962.87718
-18.2,1,962.988338
15.662742,86,964.796959
6.4,114,967.22852
-49.723045,481,977.588828
-22.282843,20,978.111083
-19.17746,348,986.951256
-36.834315,116,990.000201
13.531371,108,992.257106
-56.551472,208,996.780058
2.214214,218,1001.837928
17.994113,64,1003.167275
-19.082843,6,1003.427039
22.882843,26,1003.98157
1.856854,182,1007.739151
-3.020101,195,1011.90441
-21.985786,22,1012.474488
21.765685,52,1013.564029
14.897056,97,1015.579833
-14.385786,334,1023.019433
16.365685,81,1024.706354
22.814214,45,1025.649029
13.062742,86,1027.41652
-21.551472,21,1027.888853
-67.405887,548,1041.291179
19.531371,62,1042.602075
-43.351472,136,1045.95735
11.794113,159,1049.544036
2.428427,158,1052.918456
-20.317157,11,1053.340238
19.8,43,1054.209713
-72.405887,299,1061.360498
14.262742,75,1062.906797
16.282843,81,1064.579708
14.179899,124,1067.320465
-37.165685,103,1069.472789
-9.551472,289,1075.911256
20.697056,79,1077.626935
-43.211775,476,1089.904989
-26.048528,40,1090.802683
-654.17746,3506,1172.122028
-23.565685,29,1172.851689
-0.482843,150,1175.882462
20.331371,61,1177.13505
-1.591674,229,1182.672908
12.008326,133,1185.570856
-38.082843,152,1189.020179
-36.005887,83,1191.515259
22.048528,49,1192.535693
-25.448528,60,1193.768353
21.565685,38,1194.562761
7.365685,157,1197.934804
18.214214,57,1199.092904
-26.682843,101,1201.144445
-2998.674517,15193,1500.079255
20.745584,81,1501.838956
-20.523045,281,1507.898103
-20.965685,18,1508.309666
-63.082843,275,1515.021451
-18.2,1,1515.101151
14.676955,141,1518.240553
2.482843,144,1521.243017
7.042641,151,1524.53992
23.448528,44,1525.458318
-20.034315,10,1525.753778
-26.634315,294,1531.883883
7.765685,160,1535.21837
16.028427,64,1536.521513
-28.551472,364,1544.912149
12.697056,129,1547.722849
18.414214,72,1549.214265
-32.702944,134,1552.629129
5.994113,164,1556.396598
-20.020101,244,1561.295196
-60.151472,252,1566.921076
10.828427,160,1570.644257
21.414214,36,1571.381379
-22.917157,45,1572.495657
-6.517157,273,1578.422753
18.428427,58,1579.619016
6.71127,145,1582.721477
0.125483,205,1587.087846
-55.171573,208,1591.429447
-60.854416,257,1597.787332
10.745584,107,1600.086859
-17.143146,298,1607.026948
23.765685,21,1607.46946
-11.625988,284,1614.118191
6.848528,119,1616.662212
13.531371,67,1618.061508
-10.682843,237,1622.963535
-68.951472,320,1629.475444
17.062742,103,1631.780231
20.779899,45,1632.754066
-22.365685,21,1633.336681
17.579899,100,1635.476902
9.442641,196,1639.951401
-47.848528,172,1643.514784
-25.551472,34,1644.270984
-35.985786,93,1646.610376
-493.717157,2457,1700.474711
-38.082843,135,1703.974019
-60.502944,291,1710.158835
-24.048528,25,1710.999218
-37.771573,102,1714.367786
-43.468629,376,1722.852811
16.525483,105,1725.14993
15.165685,87,1726.925498
6.828427,221,1732.460829
20.11127,82,1734.229209
14.994113,106,1736.461374
-444.854416,2408,1789.549357
12.925483,109,1791.960611
11.262742,107,1794.18432
-37.185786,102,1796.307178
-71.294618,354,1806.338652
2.331371,174,1809.980886
4.297056,186,1814.091246
20.448528,62,1815.384924
19.594113,86,1817.18138
8.082843,177,1820.947072
-16.517157,333,1828.139733
23.917157,17,1828.506476
-41.834315,127,1831.148971
-27.454416,75,1833.038115
21.331371,35,1833.814776
10.628427,116,1836.201359
15.876955,71,1837.684556
-29.537258,100,1839.849284
6.765685,185,1844.020488
-0.260303,216,1849.012179
15.028427,127,1851.842157
11.628427,112,1854.244779
20.482843,42,1855.145452
-27.151472,68,1856.639763
-34.054416,104,1858.710803
-21.4,15,1859.1297
-1.785786,198,1863.257159
7.6,116,1865.782998
22.765685,27,1866.344766
-45.717157,141,1869.241323
7.91127,144,1872.379006
-28.717157,97,1874.820058
10.717157,134,1877.688394
15.014214,86,1879.485118
20.682843,24,1880.006454
20.517157,37,1880.754364
11.339697,166,1884.83828
23.365685,43,1885.725918
21.131371,80,1887.386294
15.208326,113,1889.832813
17.256854,100,1891.952751
18.448528,54,1893.063577
-35.634315,94,1895.220744
-26.460303,318,1902.318314
8.897056,137,1905.180914
12.042641,168,1908.868797
-86.482843,326,1916.228881
16.662742,122,1918.98392
19.297056,52,1920.068201
-3.282843,268,1925.911954
1.656854,209,1930.979707
7.91127,110,1933.286468
-28.4,69,1935.155028
20.779899,41,1936.020598
19.448528,67,1937.413741
4.282843,140,1940.299725
0.671068,206,1945.080477
-2.737258,205,1949.803589
13.579899,121,1952.519009
20.897056,24,1953.018234
12.208326,117,1955.546174
-56.565685,207,1961.041085
16.794113,64,1962.378562
2.779899,126,1965.018978
-56.228427,198,1969.336872
15.076955,131,1972.195958
15.4,88,1974.094118
16.765685,43,1974.955373
2.705382,188,1979.213779
2.51127,236,1984.95019
-0.508831,189,1989.044613
-22.102944,64,1990.478088
21.248528,39,1991.276999
21.917157,53,1992.359766
5.048528,131,1995.246073
11.194113,115,1997.694157
-59.323045,268,2004.006
20.482843,39,2004.820051
20.931371,24,2005.334764
-29.005887,288,2010.966913
12.662742,126,2013.64102
13.765685,97,2015.64364
-27.605887,107,2018.164881
22.414214,29,2018.761602
-19.4,6,2018.973712
17.779899,53,2020.064595
20.097056,52,2021.156829
16.117157,70,2022.695638
-31.414214,69,2024.917386
20.662742,61,2026.178716
-139.0,915,2045.699733
15.097056,54,2046.785131
-23.882843,24,2047.373915
20.628427,45,2048.30563
23.614214,23,2048.820443
-33.8,61,2050.194146
22.131371,33,2050.913657
19.648528,42,2051.782496
16.614214,118,2054.429015
18.276955,98,2056.62584
19.979899,43,2057.498159
14.828427,110,2059.899195
12.614214,140,2062.925132
-70.317157,284,2070.209093
-6.420101,203,2074.686688
-20.751472,39,2075.643263
-34.068629,127,2078.365902
-0.363247,251,2084.529398
18.297056,110,2086.921649
-24.165685,34,2087.663026
-28.448528,54,2089.116575
-2.157359,234,2094.751291
19.117157,51,2095.832683
-4.917157,275,2101.957946
20.648528,61,2103.257596
-0.757359,225,2108.587411
-32.302944,99,2111.056437
18.145584,55,2112.191811
-398.020101,1945,2153.677805
5.062742,136,2156.41031
-32.28873,113,2159.193763
2.428427,216,2164.260657
19.565685,69,2165.671235
-3.620101,241,2171.184699
21.448528,37,2171.948299
-54.854416,265,2178.572629
-3.074517,243,2184.52196
-4.551472,222,2189.242638
-19.682843,9,2189.494366
17.325483,66,2190.831496
22.414214,30,2191.471174
23.131371,45,2192.413099
-19.2,5,2192.624473
15.51127,66,2193.975549
17.414214,83,2195.76395
15.682843,47,2196.718689
0.917157,180,2200.516615
18.862742,107,2202.887782
7.648528,187,2206.965148
