#{"t_start": 1655361222.5122435, "env_id": null}
r,l,t
-18.4,1,4.219502
-19.4,6,4.343561
-21.165686,15,4.515957
-29.765682,49,5.106688
-28.468628,77,5.876472
-22.165686,19,6.336601
-22.800001,21,6.754685
-21.482843,19,7.12546
-43.38579,142,7.413191
-23.800001,46,7.983078
-19.717157,10,8.17536
-28.248528,43,8.870525
-36.882835,97,10.215317
-80.03202,372,11.789627
-40.26863,100,12.41673
-86.614334,302,13.136694
-24.365686,29,13.459346
-21.965685,18,14.033997
-29.062738,49,14.762866
-23.034315,24,15.564361
-25.585787,36,16.69839
-25.297056,35,17.736907
-57.42604,196,18.190202
-72.98,232,20.082679
-45.994133,167,21.113416
-49.682865,134,23.009321
-49.882866,146,24.905851
15.862742,64,24.905901
-18.6,2,24.982401
-97.159836,345,26.594415
-30.620096,58,26.876736
-21.965685,20,27.19063
-35.345577,81,27.79512
-26.102943,41,28.448603
-25.985786,37,29.202722
-27.497055,41,30.510378
-37.159794,103,30.854036
-35.05441,94,31.211004
14.131374,69,31.758398
-26.28284,40,31.845408
-33.311264,66,32.059985
-19.682842,8,32.235194
-28.26274,46,33.126675
-32.131367,73,33.796912
-36.71715,86,33.87197
-19.4,6,34.027949
-39.13137,124,35.999071
-50.579926,167,36.29777
-40.531376,128,36.365324
-21.117157,14,36.443319
-25.434315,32,37.106744
-29.117155,62,37.859648
-37.35979,98,38.820366
-42.497066,119,39.51047
-21.634315,19,39.839159
-38.082836,102,40.495928
-63.317234,196,41.794264
-32.351467,66,42.114365
-34.71126,72,45.487682
-34.51715,82,45.487746
-67.78831,210,48.00585
-28.46274,53,48.873704
-30.020098,60,49.335098
-19.882843,10,49.553984
-47.682865,146,57.942302
-57.897125,202,59.794743
-105.2342,431,73.019194
-112.78554,479,83.801752
-414.37042,1998,196.643842
-18.317158,2,196.792438
-625.20764,3074,233.962681
-150.03352,686,237.625668
-34.985775,138,241.959978
-633.9949,3114,250.995185
-48.605927,203,254.086682
-22.211876,310,270.583434
-0.3715908,167,279.183553
-119.48178,831,282.839999
14.848534,84,287.003237
-68.4202,241,291.281894
-25.600098,293,303.386227
12.74559,109,308.774438
-229.21223,1113,310.252936
-108.68266,507,334.429523
18.565683,111,339.613171
-22.882843,61,342.484387
-3.9171822,160,349.964799
-19.082842,4,350.216019
-125.80484,835,351.151787
-28.979897,52,353.685553
2.83432,172,358.41503
18.082844,90,362.630471
10.179909,147,369.670211
-101.50232,686,386.556606
-89.48236,666,401.425355
-22.834316,45,403.559787
-50.274544,438,407.093361
7.131384,142,410.388682
-18.717157,4,410.665544
17.614214,41,412.58446
4.779913,145,414.173297
19.517157,40,414.560792
-20.634315,13,414.943254
-24.434315,37,416.465154
-45.7657,145,422.204437
18.282843,35,423.950381
-80.20015,327,432.994077
-23.102943,33,434.666944
-16.151554,285,438.384197
-30.434305,140,445.698921
-37.434303,136,452.195364
-54.551487,408,455.010211
17.731373,113,460.434454
-638.5295,3465,462.425116
-42.866207,210,473.818219
0.55389565,187,483.224081
-112.673706,731,490.02519
-90.77102,607,492.556137
-38.10312,414,510.737327
-123.39966,550,511.411294
13.800002,92,515.717724
-54.317142,491,517.459127
21.014214,56,518.784996
-52.97751,199,522.05266
-26.137257,65,522.214092
10.600006,97,522.64564
-24.640203,61,525.398339
-7.3372526,85,527.349755
-36.765675,205,535.283666
-36.00588,152,536.742769
-54.220146,185,545.904829
-47.08876,164,546.115476
3.5455837,146,553.660286
-54.80006,217,557.324486
-22.668629,42,559.380866
-76.0742,628,560.785917
-34.702934,143,567.229117
-45.05455,414,574.653105
-7.1230955,272,574.854956
20.517157,76,578.846671
16.765686,47,581.139396
-51.791706,225,586.05972
-99.6828,452,589.792495
6.6485415,163,594.343491
19.628426,103,594.945487
-69.682945,296,595.916628
4.097062,118,601.421728
-27.820213,292,608.280543
-19.985874,286,608.622351
-23.220102,35,610.495297
-25.034313,55,613.191721
0.40832216,210,618.678721
4.5112734,121,619.082244
-19.951471,11,619.741244
19.979898,46,622.395647
-20.2,8,622.883089
-19.6,6,623.255702
18.145584,51,626.133016
-62.282684,506,627.482567
16.365688,78,631.648476
-22.565685,47,634.297827
13.682853,154,634.607416
22.048529,51,637.339579
-23.672184,379,639.718008
20.0,58,640.390303
-41.537262,126,646.901038
-61.131447,288,649.192253
15.882843,64,650.030184
-66.11725,264,653.247617
18.448528,68,653.640147
-29.999992,124,655.857927
-20.33726,58,656.844745
19.945583,43,659.044537
11.139712,171,662.348087
-27.05441,87,663.522258
9.117171,152,663.753637
23.365685,23,664.900883
9.414222,85,666.597319
21.6,36,666.681826
-18.4,2,666.819814
16.408329,104,669.001929
-27.35147,63,670.147688
-20.6,53,671.712738
6.5656996,140,676.827534
5.214219,169,679.716949
16.400003,69,680.185864
-21.585787,22,680.87764
20.228426,47,682.619411
23.082842,23,683.778738
-39.26863,154,688.505428
14.234324,136,690.402966
-23.317158,27,691.734649
16.082844,96,693.257304
-28.979897,58,696.805398
19.434315,88,696.80545
22.034315,53,699.52587
-95.45973,666,700.835744
-33.26862,129,703.909912
15.014216,87,705.713213
-37.985775,219,715.998192
-10.82014,201,716.865647
17.4,50,719.878677
-40.31716,157,728.810978
-109.85416,524,729.39707
-32.082832,134,737.908535
-6.1574087,276,744.970472
-32.868763,328,762.814574
-73.35701,578,769.673676
15.794115,86,775.219637
-25.240202,77,780.423522
-88.92313,408,806.664001
-28.088728,79,811.503465
22.648527,27,813.124068
19.794111,68,816.976262
-188.2756,883,818.346375
21.765686,31,818.961508
-55.35741,242,832.443062
-390.26596,2001,835.480984
6.0343285,141,843.526675
-25.434315,41,845.969871
-59.11723,238,846.370621
18.448528,40,848.187054
16.234318,99,851.892022
13.250969,158,861.007415
3.0484912,265,863.738101
15.048529,113,870.116676
16.1799,65,874.611011
-4.64024,240,876.471172
-21.585787,66,881.391167
6.7313805,95,882.15992
22.379898,30,884.436318
18.53137,42,887.198926
-29.70294,68,891.206111
-18.800001,22,892.478796
22.145584,36,894.504504
-208.67218,1281,896.585679
16.697058,42,896.773818
-10.246147,275,898.171273
-23.220102,47,900.655113
19.565685,84,901.360651
44.93137,100,906.556672
6.73971,154,908.889545
20.53137,37,910.836198
-90.08232,653,934.851122
-53.820145,249,951.289459
-180.75026,819,963.71982
12.628437,136,970.993458
-33.79999,83,975.273455
18.476955,54,978.096947
-18.2,1,978.342655
-111.25419,509,981.980189
-29.15147,102,988.369578
-275.41162,1374,991.195447
17.145584,69,994.990857
22.365685,28,996.555001
-15.797633,330,998.728699
21.062742,37,999.208228
-49.185814,222,1001.542663
-12.26868,255,1013.580295
-122.84819,523,1029.984264
19.6,49,1032.929298
-126.11676,591,1036.494213
22.097055,39,1038.848057
-6.0059233,197,1050.322781
21.614214,19,1051.481799
-39.48284,109,1058.043473
13.882848,102,1064.334587
-41.240204,182,1075.495878
-222.39816,1046,1076.571624
15.931371,57,1078.965998
-27.599997,78,1083.464059
11.705386,134,1084.398394
-28.771566,120,1090.877902
21.779898,59,1094.307207
10.476966,195,1104.614546
-23.385788,69,1108.472208
-22.971573,51,1111.15535
-237.96364,1370,1112.928019
16.814215,53,1115.637718
-23.185787,31,1117.259687
11.2000065,134,1118.12584
17.048529,58,1121.176037
20.93137,76,1121.311815
-103.639465,763,1126.016931
-28.248524,130,1128.568907
-51.097095,161,1130.887702
19.53137,46,1131.943179
18.379898,54,1135.950848
17.482843,95,1137.903158
20.282843,38,1138.672388
-23.605886,82,1144.372552
0.39411628,190,1156.773476
-78.85456,418,1164.735673
-397.461,2132,1269.177416
16.682846,130,1275.50982
1.7656696,140,1282.338377
-437.94614,2429,1290.147661
-3.9858067,184,1291.424306
22.282843,49,1294.349334
-18.2,2,1294.503907
21.717157,32,1296.29377
9.345597,122,1302.402229
20.2,42,1304.573092
-5.923074,289,1305.667132
18.897057,41,1307.851436
15.917165,122,1313.919095
20.214212,68,1317.202262
21.248528,95,1321.82006
-39.95166,443,1326.330058
-29.999994,115,1327.281609
21.394112,41,1328.332173
-27.4,47,1330.61227
-21.420101,25,1332.008389
22.282843,35,1333.67977
-5.688779,237,1345.512539
10.600014,203,1355.482198
-85.103096,336,1371.205166
-22.434315,44,1373.345787
