#{"t_start": 1655293178.4263873, "env_id": null}
r,l,t
-30.84852,104,8.406996
-30.185783,61,11.679996
-68.91136,229,15.338391
-58.751545,230,15.45253
-28.082842,41,17.669794
-27.882843,43,17.900247
-47.0059,133,19.292525
-28.779898,48,20.609696
-27.399998,70,23.927692
-39.931374,101,24.344182
-22.517157,21,25.424156
-58.897106,202,28.276431
-40.159798,114,30.18505
-18.6,3,30.41234
-22.517159,26,31.966755
-38.731365,121,32.452532
-46.374027,131,36.449605
-33.73725,86,37.921902
-40.511272,109,44.409501
-20.6,11,45.056962
-71.96578,286,49.100593
-19.882843,6,49.467864
-24.882843,38,51.463647
-37.697052,124,51.871059
-65.66039,279,52.59291
-24.482843,28,53.278168
-22.034315,19,54.021326
-27.448524,62,57.31706
-44.03433,124,60.094571
-19.2,6,60.457074
-39.228428,95,62.609608
-61.48291,203,63.655937
16.082846,58,64.116491
-55.137318,245,77.450786
-26.731369,45,79.777725
-26.999998,40,82.082411
-20.082844,11,82.700397
-113.99981,454,88.146434
-44.862762,152,96.13595
-47.61424,168,105.842121
-153.03362,684,122.024484
-40.282845,100,127.203256
-226.66386,1361,143.209007
-35.814205,87,152.586573
-18.8,3,152.992204
-199.89557,873,175.701803
-68.09126,242,177.80374
-40.20001,168,185.578491
-143.78467,893,198.717172
8.682853,110,205.427315
-7.717208,203,217.289019
-53.78586,236,230.092756
-30.048525,82,234.177876
-3.8686535,159,241.815143
-234.71518,1065,244.981387
-200.12686,1211,245.47841
-24.434315,41,248.061542
-24.682842,52,250.762826
1.4142025,153,253.524231
-29.945581,58,253.968657
-23.965687,52,256.411051
16.400002,91,260.898106
-94.91716,401,262.966525
-39.840206,127,267.338641
-46.57161,186,272.164266
-24.434315,31,273.721253
-40.10312,386,285.960062
-63.745674,238,297.669463
-18.2,2,297.811922
-27.205885,52,300.285196
16.462742,83,304.16483
13.29706,79,307.89136
-38.600018,168,316.000537
19.965685,49,318.944038
-247.81834,1422,323.739218
-229.79802,1106,327.521323
16.9598,90,328.307426
20.014214,48,330.6609
14.814216,54,334.068263
-36.799995,115,335.857245
-14.805953,297,350.435861
-24.75147,92,354.998127
-28.420094,147,363.194694
-151.35019,912,366.86972
-39.620102,187,373.793605
-26.082836,117,373.793653
-124.41908,809,377.131822
16.117163,98,382.018166
-42.76325,221,385.376113
-28.068624,95,387.974217
20.248528,37,390.741956
-19.05451,312,392.350389
-138.7166,605,434.271456
-141.24785,649,435.761858
-22.917158,56,437.942161
17.214214,41,440.46757
-186.92761,883,446.151032
-84.38006,327,455.504833
-65.46872,256,460.756693
22.814213,27,462.168195
-84.6487,374,462.254146
20.282843,83,467.855723
18.917158,47,471.070354
-54.985836,178,474.319941
19.062742,86,476.497886
-18.4,2,476.633129
6.842656,181,483.515503
-93.42014,399,499.340664
-22.4,23,500.808094
15.682846,99,506.190964
14.082847,95,510.825734
20.111269,70,514.22193
-74.25413,625,518.129735
14.531372,86,518.527752
19.497055,95,523.174632
14.525488,120,524.09558
18.165684,97,527.972748
20.545584,38,529.869213
19.497055,50,532.310093
21.93137,18,533.228786
21.214212,53,535.843032
-24.3799,33,537.554416
-76.75749,316,539.813749
19.897055,70,541.219538
19.145584,52,544.165719
-43.08285,123,546.906572
-20.117157,11,547.699124
-336.70477,1773,552.525792
-19.282843,6,552.88629
3.862745,157,555.643329
12.131375,86,557.959056
-54.93145,270,559.472995
-86.28297,344,577.122601
-125.35109,575,612.174336
-212.03867,976,613.828718
-36.674507,181,624.211309
-63.434402,251,627.8769
-32.551468,77,630.469598
14.882846,88,633.436554
11.131384,171,642.273254
-14.951537,240,643.038225
17.828428,62,646.12863
-31.848522,59,649.371356
-92.61186,403,664.833279
-23.034315,53,668.290839
-72.38591,300,684.280751
-434.2912,2359,693.92485
-136.15639,900,697.414438
14.800006,101,699.139294
18.482841,70,702.835628
20.282843,45,705.186896
-28.151468,67,708.618972
-61.03439,274,711.703365
-27.434313,64,712.00247
15.414214,70,715.695496
-25.937258,56,718.588356
-25.254416,93,723.429888
-76.04033,303,727.498813
21.414213,20,728.574002
-22.6,22,729.756255
-33.79999,123,729.898356
22.53137,32,731.638339
-31.108822,111,735.641397
-22.165688,104,741.207721
-46.15149,239,754.360243
-230.18309,1386,757.561532
-72.58555,490,758.079516
-32.385777,118,760.514449
12.600003,82,764.486768
5.71717,155,765.312079
5.897065,155,765.842544
-26.717155,57,768.628485
16.482847,76,769.178756
-21.497057,24,770.047001
13.882844,68,774.006656
-19.185787,67,777.57333
-21.234314,63,780.871453
-63.900593,243,782.550696
-54.537296,263,796.248958
-22.317158,32,798.137255
16.297054,109,804.595152
19.517157,42,807.078886
16.882843,65,810.896961
-22.2,21,812.143985
-4.917199,227,825.233869
-179.45319,854,831.631214
20.7799,39,833.635924
-61.31723,224,836.737017
15.531371,49,839.145305
12.559808,133,840.429999
20.379898,66,842.687949
-248.66695,1417,843.526448
16.891169,130,847.660722
17.131372,104,848.834474
20.897057,25,850.627257
21.862741,33,852.932529
-19.165686,23,854.460635
2.6225307,201,856.402818
19.048527,45,857.255758
-39.62011,169,858.809258
19.048527,69,860.980466
16.917158,99,861.930953
-26.399998,67,862.571767
23.048529,27,863.681481
19.925484,90,867.865421
11.345601,227,874.467984
-4.351506,198,879.614443
-23.917158,91,879.95
17.282843,109,886.673317
-22.365686,23,888.16997
18.579899,50,891.454921
15.365688,66,895.831618
-80.31729,322,900.251469
-67.13693,605,900.962029
4.7656946,124,906.697398
-58.200066,220,908.049621
19.91127,44,908.994922
22.365685,71,912.635238
3.765686,213,912.94248
19.062742,34,915.394828
-42.082855,116,917.039864
19.33137,90,918.631764
-29.682838,57,920.38584
20.414213,103,924.584847
17.482841,63,928.196717
-28.434307,106,934.015221
-26.165686,61,937.444081
18.682842,51,940.339543
-103.171486,455,945.853142
17.800001,140,947.99916
-130.38475,838,960.857626
-25.303059,288,962.147959
16.848528,53,964.751029
-94.75151,408,966.130616
-28.91715,127,970.918829
19.097055,49,973.347979
8.400014,165,974.308747
-20.434315,36,975.680251
14.614216,55,979.134343
20.814213,35,981.070258
-45.517296,394,981.791431
8.456867,202,985.911406
-31.551466,137,988.3004
20.497057,26,989.674049
5.642659,163,994.511296
-35.302933,120,996.002924
11.428434,90,1000.403599
11.442652,132,1001.198279
18.317156,46,1002.880761
-100.75732,441,1004.819039
-28.648523,98,1006.519201
-23.585787,79,1007.262021
6.9397116,151,1012.483833
14.9397,122,1012.646845
-25.688831,276,1026.182451
-45.5917,157,1035.955114
-28.585777,109,1041.622574
-107.75075,711,1045.321736
17.614214,50,1048.154478
6.994132,177,1051.731988
-27.682838,95,1056.657145
-37.082844,163,1056.774049
-180.71599,840,1058.292197
17.765684,42,1059.302818
17.574013,79,1061.422076
19.414213,48,1064.132354
-24.020102,49,1066.812006
8.248542,169,1068.782531
-18.882843,4,1069.039595
14.594115,123,1073.723966
11.01422,85,1073.874088
-27.585785,48,1076.809596
-75.634445,346,1078.087292
18.565685,54,1080.97503
15.482849,113,1083.058024
11.979904,67,1084.55586
13.531374,71,1086.903639
15.062743,101,1090.014244
20.199999,63,1090.303413
-34.78349,408,1096.434376
-77.985916,360,1111.434173
16.262745,62,1114.819888
-36.100643,429,1121.342931
-122.51676,548,1121.616368
20.6,39,1123.532723
18.297056,73,1127.333495
-12.682903,275,1130.214386
-2.363273,215,1134.01543
20.082842,80,1138.583439
-17.917158,1,1138.671471
-47.23436,236,1141.558488
-35.917137,194,1141.839226
21.965685,32,1144.599251
20.365685,41,1147.52725
-52.517193,202,1152.222502
-4.5172033,237,1161.415443
17.448528,40,1164.026973
-7.3172054,231,1165.980547
15.379902,123,1170.997642
15.882844,48,1173.577545
-58.791737,220,1177.861971
-26.688728,94,1182.672807
-94.87393,726,1184.055726
3.4343154,216,1184.761803
21.882843,18,1185.075779
-25.751472,62,1186.013681
-20.537258,32,1187.684876
-30.337252,81,1189.442657
16.131378,163,1193.466942
-38.50294,113,1193.694621
-30.648523,70,1196.980962
17.262741,43,1199.061328
-15.137324,229,1201.043735
-7.4828897,237,1206.481241
-29.282839,58,1209.841547
19.4,30,1211.579943
-14.282924,269,1214.620281
18.0,36,1216.638851
15.297061,106,1217.570739
20.145584,51,1219.523009
8.497068,119,1226.135499
19.648527,48,1228.774134
-25.302942,49,1231.458013
-161.95335,1069,1260.510625
-58.56558,591,1263.254874
21.062742,39,1265.171511
11.105389,111,1266.10973
20.965685,35,1267.324612
20.965685,35,1269.407602
22.214212,90,1274.456422
23.317158,22,1275.659415
23.117157,22,1276.832425
21.565685,92,1281.424542
-7.771613,294,1282.230767
20.848528,35,1283.298776
20.482841,44,1284.592225
23.282843,43,1285.944704
-26.95147,62,1288.657184
17.165686,72,1290.852322
-23.917158,54,1294.171959
19.565685,44,1296.582206
20.448528,40,1298.751984
22.482841,48,1301.39074
19.179897,71,1305.125461
21.8,54,1308.062413
21.848528,57,1311.079993
19.359797,72,1314.824243
-21.800001,20,1315.89998
-110.89442,525,1317.811601
20.145584,88,1320.483459
-23.082844,48,1322.927976
5.719611,150,1325.583458
20.814213,26,1327.006617
16.228432,145,1330.650681
-24.64853,30,1332.209237
-20.282843,69,1335.638144
18.965685,60,1338.565117
3.33137,249,1339.616424
-432.5311,2359,1345.283843
17.511269,122,1345.865695
7.8000145,178,1347.802551
-28.117153,70,1349.583505
-22.4,20,1350.698838
16.917162,105,1353.169973
20.048529,26,1354.504681
7.3799143,200,1355.727524
16.614218,143,1362.044178
-19.86863,30,1363.627967
-7.2343435,262,1364.406548
-66.460396,293,1372.27738
-13.351539,365,1384.08169
-53.731422,233,1384.699074
20.282843,43,1387.026599
-19.6,12,1387.695343
20.482843,82,1388.553725
-46.120625,503,1391.988662
18.73137,93,1393.577095
-32.999992,146,1395.7125
24.014214,39,1395.85455
20.917156,36,1397.696779
17.931372,64,1399.349496
18.31127,59,1402.442523
-48.12896,202,1403.325665
5.7799187,200,1409.142133
-98.95144,423,1433.566508
-63.251698,570,1436.244007
-24.448528,27,1438.065388
12.882853,120,1440.357168
-0.85444564,217,1449.033947
-136.55016,929,1454.00081
14.9397,134,1455.979135
-24.68284,91,1459.005246
22.297056,51,1461.518147
-37.551468,157,1469.295212
-98.916565,651,1473.325314
-22.634315,30,1474.839439
13.097065,160,1477.693735
-23.434315,26,1479.137763
-56.420105,459,1479.643082
-24.537256,53,1482.563368
20.04264,67,1486.159162
13.979911,200,1489.968462
24.014214,20,1490.998654
18.834314,50,1493.459123
-86.01439,423,1497.474293
18.731369,95,1498.50309
-23.805887,51,1500.043358
-16.240282,268,1500.180659
-22.434315,43,1502.635588
-21.317158,41,1504.885144
21.082842,35,1506.784858
-14.40005,242,1511.71835
21.545584,39,1513.83647
-11.191752,290,1516.08249
15.097059,82,1518.349218
-81.86289,336,1525.2896
8.862757,169,1525.710734
4.682849,182,1528.901126
-23.53726,92,1531.004795
-30.971565,118,1532.417176
21.165686,95,1534.872024
17.53137,48,1537.952334
11.531378,86,1538.083476
-23.482843,52,1541.091795
19.848528,42,1543.525102
18.93137,49,1546.228488
20.614214,25,1547.691537
-61.89471,315,1549.860578
-25.771683,329,1557.089097
-52.551517,192,1558.760248
-19.082844,25,1560.042627
-47.985844,209,1561.70874
-44.68286,188,1566.586158
-1.5858185,196,1569.860883
19.282843,51,1572.331806
20.565685,25,1573.546454
-51.28877,180,1575.560242
18.8,60,1576.517485
-35.428417,99,1580.474128
-34.234306,92,1581.171426
-106.63418,438,1583.770658
22.2,47,1583.770721
15.000003,87,1588.56086
2.8141925,206,1595.000563
-35.99999,218,1600.287159
17.539698,111,1601.065073
22.034315,31,1602.128398
20.282843,103,1607.572165
18.945583,56,1610.537051
-131.88237,581,1612.014602
22.248528,70,1615.45316
-49.66867,185,1624.737284
22.165686,32,1626.351462
-18.0,16,1627.301811
-39.56586,396,1630.67582
-71.73149,292,1642.608441
2.8142052,242,1643.488704
12.331382,145,1650.083455
20.317158,26,1651.38805
21.594112,61,1654.411525
17.64264,102,1659.628878
14.828427,126,1665.930134
-57.482822,534,1670.764996
19.4,30,1672.310184
22.331371,29,1673.747368
-5.2686644,233,1677.863447
22.945583,86,1678.000817
11.88285,93,1682.536641
-24.351473,43,1684.655149
9.117173,180,1687.542688
22.248528,69,1689.299552
8.482853,110,1693.728958
-333.70483,1861,1697.921417
17.676954,58,1700.901093
8.682852,138,1701.074202
-10.785853,269,1715.625978
-13.005957,305,1717.40803
-21.097057,18,1718.423204
20.208326,72,1719.704078
-27.399996,84,1724.763596
-18.082842,1,1724.874496
-87.30251,680,1726.834267
22.862741,27,1728.427467
-39.33137,120,1735.33849
-15.185851,237,1738.601021
-85.25456,353,1739.376776
19.648527,68,1739.376831
20.848528,42,1741.531468
16.345587,82,1743.517251
13.759806,126,1745.144713
16.117159,105,1746.707613
23.53137,44,1747.320792
14.911274,82,1747.700116
23.082842,25,1748.234046
-23.482843,26,1749.098975
-34.454403,112,1755.038692
6.897072,158,1756.715882
4.4083376,191,1758.025636
22.048529,35,1758.565763
-25.4,80,1759.204484
19.8,42,1761.309141
15.105385,104,1763.355308
12.965691,101,1763.762168
-27.191671,90,1766.053135
-28.28284,46,1768.421023
14.979904,141,1770.953466
22.199999,28,1772.327288
-5.454466,222,1774.668938
11.814223,160,1780.240822
9.448542,138,1781.513553
-40.282845,179,1789.404585
-51.68874,435,1790.255376
21.765686,75,1793.247793
18.979898,50,1795.7551
-25.551472,48,1798.1843
-1.6343338,224,1801.562333
-22.585787,37,1803.588954
-5.2000246,227,1809.744508
9.311278,154,1811.29565
-23.282843,82,1813.856402
22.048527,53,1817.043386
21.048529,22,1818.165875
-157.92224,733,1819.429782
4.497052,162,1820.38647
16.9799,73,1822.5518
20.648527,40,1824.70208
18.282845,89,1829.023984
