#{"t_start": 1655361072.5754437, "env_id": null}
r,l,t
-28.779898,48,5.903416
-35.594105,85,7.148919
-32.820095,71,8.352365
-26.097055,36,8.475166
-23.26863,25,9.388586
-65.77998,218,12.003044
-33.702938,83,12.260529
-50.091194,137,12.754492
-26.565683,51,13.187762
-28.81421,45,13.993357
-19.282843,6,14.148076
-22.282843,25,14.558188
-48.094635,147,14.800605
-27.565683,52,15.763664
-44.951477,169,16.125437
-24.902945,39,16.975019
-20.917158,17,17.452551
13.4000025,75,17.517222
-24.717157,28,18.180233
-30.517153,77,19.397132
-27.4201,57,19.600252
-26.482841,61,20.902461
-19.517157,7,21.104827
-35.51715,80,21.582705
-22.365686,18,21.582751
-20.117157,14,22.031175
-22.048529,18,22.574197
-22.365686,19,23.10603
-32.179893,65,23.52651
-21.282843,13,23.91702
-22.848528,27,24.70862
-111.57977,437,26.343206
-21.751472,19,26.91142
-35.17989,87,27.281262
-31.028423,66,28.705394
-27.199999,38,29.611983
-47.200016,125,29.812906
-87.73148,301,31.153602
-33.61421,65,31.533584
-36.937252,85,32.216044
-25.565685,31,32.395549
-20.6,14,32.660546
-30.405882,88,33.253879
-24.06863,35,33.980463
-33.73725,80,34.260695
-31.517153,58,35.700064
-29.30294,63,37.51496
-78.78835,264,38.972216
-26.26863,65,39.42516
-36.89705,79,41.028392
-79.26288,277,41.12959
-20.882843,12,41.435184
-24.765686,39,41.923305
-35.214207,73,42.858351
-32.028423,64,43.157868
-26.502943,41,43.585288
-76.46875,286,45.061197
-38.159794,89,45.321573
-33.331364,69,46.320198
-50.50297,142,49.607601
-62.379974,215,50.681428
-27.717155,42,52.338491
-73.44865,275,67.584708
-30.814209,85,73.314637
