#{"t_start": 1655032240.3025148, "env_id": null}
r,l,t
-28.185783,91,6.270531
-19.234314,7,6.700144
-54.80004,195,12.016853
-33.434307,80,16.027341
-25.282843,39,18.142145
-31.717154,58,21.10625
-74.98003,292,22.011958
-27.379896,40,23.911528
-102.034195,451,24.984282
-75.84865,323,36.836876
-67.303055,277,37.495507
-30.98578,108,42.181211
-30.00588,109,42.85995
-22.682842,30,44.390485
-114.55955,483,49.255163
-36.771564,100,49.905797
11.331374,72,53.546575
-42.614227,122,59.446879
-40.882988,350,60.068125
-29.317154,52,61.923367
-25.668629,45,62.258926
-37.63445,356,66.6326
-27.137257,72,69.98208
-49.200016,240,73.5621
-47.91719,212,83.626956
0.579871,227,94.732861
-51.131413,174,102.788722
-5.5858335,208,112.010492
-52.048565,247,122.770564
-242.10066,1409,128.176388
-40.78579,140,129.800028
-30.048525,68,133.487033
-25.0,51,136.036335
14.400006,152,136.036385
-11.254489,303,150.610873
-25.73137,47,152.765246
22.765684,46,154.88622
-353.47247,1997,164.085637
-146.95084,726,170.911577
20.014214,40,172.783994
-310.52475,1808,245.060302
21.179897,64,247.926676
-324.67096,1805,252.291926
8.40001,161,255.219895
-18.2,1,255.378316
6.4970713,175,261.144576
-2.5029786,239,271.743289
-105.92877,539,280.121866
-591.76904,3144,308.053006
18.199999,51,311.987941
-30.199995,88,318.749464
-143.23961,617,327.287785
10.39412,114,332.40358
18.814213,33,333.841719
-2.7857907,259,333.957459
-211.79822,1051,338.645435
2.3171604,133,340.281175
9.979911,188,342.814046
14.779903,96,343.114263
18.117157,36,344.695305
18.882843,48,345.006643
-32.654408,100,349.491493
-3.8201306,165,352.133943
22.145584,72,352.742884
19.365685,65,355.232607
-54.928905,468,361.670878
-34.11714,160,362.888475
-44.682877,214,363.067332
-28.517155,45,364.747013
19.048527,67,367.178901
13.248535,93,368.756429
-34.84852,173,375.909728
-25.317156,75,379.527107
18.93137,91,383.906244
21.4,34,385.53375
19.199999,85,389.682386
-112.90273,520,390.804039
-3.4260406,276,405.893263
17.028427,72,409.1434
21.765686,50,411.486283
-55.046158,273,424.708198
-38.86862,164,432.270532
-51.276993,176,441.578692
-323.6118,1621,448.919101
7.3657017,162,449.100512
-11.5089,260,461.470186
20.73137,23,462.587482
-30.811893,393,467.99575
2.7656677,173,476.106984
-43.068657,184,484.706752
-46.60942,490,508.680287
-212.39832,1012,512.336629
15.214218,96,518.917122
-684.17523,3666,595.145519
22.0,35,597.629913
12.745596,223,613.132949
-394.47528,2188,670.547655
22.73137,47,673.623145
21.8,52,677.07559
20.882843,76,682.113891
-21.09471,277,700.531637
-32.034306,106,707.581174
6.7255,150,717.483088
-191.63223,1121,778.03789
4.131377,221,788.73812
-29.365683,98,793.362891
20.1799,29,794.723342
6.862754,154,801.737183
20.862741,63,804.60384
-19.8,9,805.115597
-169.70195,777,840.970464
1.5313652,191,849.49491
15.131376,87,853.302456
13.248533,158,860.34702
1.0141907,242,871.192094
7.731385,181,879.24169
-22.834316,61,882.091808
-5.9029894,229,892.618368
-35.497047,150,900.345212
-8.200037,183,908.120054
8.165692,114,913.057267
-30.268623,82,916.694139
-1175.965,5815,922.442836
18.082842,55,925.041984
5.297065,233,928.088346
6.2343283,152,932.14527
-33.97156,133,934.402323
-24.951471,92,939.021965
22.2,48,941.158925
-17.40007,306,946.484815
-1518.9341,7866,948.686466
-3.040233,179,949.772276
17.33137,61,949.772323
21.745584,36,952.467726
-40.234318,111,956.914674
15.862744,93,957.867269
9.000011,180,966.215376
-12.000045,230,967.806574
-84.59184,438,971.980115
2.097058,217,976.888786
5.9656982,194,981.281798
-24.551474,114,982.322355
-27.400135,364,985.239258
22.765686,29,986.552603
-50.751514,180,990.427817
14.765689,102,991.246213
9.09707,140,997.715173
16.531374,119,1003.059555
-31.503082,364,1007.047438
7.3799076,109,1007.971645
20.6,98,1011.493659
-2.7372773,153,1014.904156
19.862741,42,1016.846114
22.282843,30,1018.227683
-20.4,18,1019.071429
19.214214,31,1020.508622
11.282852,121,1026.004162
-24.882843,38,1027.733327
7.3313837,146,1034.252875
-22.2,21,1035.229388
-73.35118,575,1037.651788
11.200009,113,1040.355954
7.200014,157,1044.7001
-30.18578,78,1048.483244
4.2828436,202,1049.773478
9.082854,119,1054.289166
16.745584,59,1056.976429
10.311281,182,1058.593919
11.497062,70,1062.034005
-43.71718,169,1065.511567
-13.185867,292,1076.306057
16.3799,86,1080.473067
13.11716,80,1084.43014
-55.205784,519,1090.594679
6.2485495,256,1096.617622
-511.3127,2488,1097.621167
2.6769493,188,1099.450904
-28.371567,95,1101.055074
20.482843,24,1102.1709
6.5656977,120,1103.211777
18.779898,108,1104.543771
19.682842,82,1105.966698
-3.3172085,216,1113.999037
16.882843,82,1117.597537
-31.337252,73,1120.822654
-137.74263,625,1131.523136
6.8284435,171,1139.231934
-38.66047,409,1139.839829
-18.882843,3,1140.052208
1.9681156,166,1146.950285
14.028433,155,1147.206394
-26.048527,40,1149.642706
16.828426,184,1156.511453
-1.3029518,213,1160.730141
-36.77156,124,1163.388802
3.979901,126,1167.239599
-25.06041,331,1178.891602
-13.971644,264,1179.287484
2.7999763,165,1186.227165
-14.882918,319,1193.391164
1.214201,193,1201.991326
21.565685,38,1203.699888
-24.668629,36,1205.348336
10.331381,113,1210.301395
-69.39978,559,1211.250313
-26.902939,149,1220.039167
-31.34328,349,1236.155761
-74.83985,545,1237.553044
4.7656946,165,1243.589055
16.22843,163,1251.347862
-23.220102,53,1253.9957
-23.048626,379,1255.280657
17.628428,75,1257.600444
18.717157,48,1259.789295
16.214218,159,1262.646511
17.897055,97,1264.200351
-46.91719,163,1271.389121
-774.6259,3819,1287.226093
-98.94305,530,1290.689764
-40.503113,410,1291.203879
-27.985779,115,1292.716395
20.097055,42,1294.706441
18.46274,76,1298.140373
1.8141944,171,1298.759238
-47.33729,177,1299.545849
14.531375,78,1302.45112
19.876955,109,1304.611637
-1.3171799,174,1306.301955
-28.517155,80,1308.267426
-25.199999,56,1308.824659
22.414213,30,1310.175366
-26.717155,65,1311.236483
15.365689,73,1314.642238
21.448528,36,1316.35504
11.311279,111,1321.505144
-9.682908,273,1323.01135
18.365685,73,1325.030171
17.779898,74,1326.489433
-32.302937,90,1330.619037
12.6142235,128,1331.00329
-28.634308,80,1334.572894
14.74559,115,1339.842383
-44.517162,218,1341.242642
17.282843,109,1344.874607
-44.440216,162,1348.748893
22.848528,26,1349.991184
3.3313625,176,1358.073995
19.882841,66,1361.094329
16.682846,109,1366.085715
18.097055,57,1368.884784
1.5798919,228,1379.552075
9.27697,144,1386.006851
20.317158,41,1387.852673
-332.92014,1889,1390.088748
-22.785788,52,1390.262716
17.682842,62,1392.879154
20.165684,61,1393.006355
20.814213,24,1394.315061
14.388233,176,1401.517157
0.5112321,233,1405.502327
-317.28833,1546,1417.073977
-63.800102,296,1419.395538
21.614214,56,1421.95559
-38.01421,178,1425.245124
15.731376,103,1429.784737
0.0141799925,183,1430.189267
18.048529,63,1432.751317
19.331371,31,1434.123441
16.600002,56,1436.558087
-168.68767,812,1438.839837
18.53137,54,1439.027872
-0.20001335,212,1439.855744
17.614212,57,1442.685879
19.13137,85,1443.299472
23.848528,19,1443.688619
7.2970705,194,1448.301114
-31.765675,153,1450.371794
9.311283,163,1451.1514
15.165691,87,1452.347387
13.365691,83,1456.609186
19.0,108,1457.209615
23.614214,23,1458.326041
-23.882843,45,1460.486942
20.897057,41,1463.426135
20.4,60,1467.66808
19.565685,43,1470.658372
7.765703,213,1473.407622
10.165698,131,1479.670554
14.365693,133,1488.61356
21.048527,43,1491.540283
-20.86863,13,1492.449051
16.097057,88,1498.423345
-21.268726,301,1519.540463
18.462742,56,1523.563108
21.697056,55,1527.170295
23.765686,21,1528.525956
16.51716,139,1537.452009
6.6000166,185,1549.352149
16.648527,43,1552.204756
-24.317158,55,1555.792772
-23.048529,27,1557.642109
-263.7206,1258,1558.117794
14.462748,212,1571.196172
-25.531372,78,1576.100854
19.248528,32,1578.247855
-87.517265,365,1581.388751
8.862751,146,1586.967842
17.448528,74,1590.972305
-19.6,8,1591.43484
-41.55148,183,1591.728447
20.66274,78,1595.476065
15.862743,89,1596.361755
21.331371,60,1598.646526
23.53137,25,1599.959149
14.814214,118,1605.887615
19.882841,63,1609.00539
-15.11724,296,1611.33587
21.1799,74,1612.760136
-26.985785,78,1616.660037
7.7941275,163,1619.513936
-23.93726,66,1622.828525
9.794128,157,1624.543367
22.765686,27,1625.921094
15.111272,70,1629.403471
5.38824,179,1631.840209
14.00001,138,1636.339408
-42.185795,181,1640.863509
-30.751467,94,1641.050122
22.214212,49,1643.527296
18.745584,72,1644.556291
15.91127,90,1648.163751
16.979898,74,1648.427663
-22.882843,24,1649.496164
-3.6000233,197,1659.598053
-21.082842,14,1660.342981
19.297056,45,1662.621266
-18.2,1,1662.703197
-48.971603,463,1672.039879
-748.2508,3703,1673.128957
-30.43443,289,1677.50497
21.945583,34,1679.145261
-47.10887,210,1683.39805
9.111279,117,1684.566457
19.482841,45,1686.571415
8.97991,146,1690.222246
18.248528,149,1694.898669
-53.51132,175,1705.354736
-65.61186,258,1705.934046
-21.282843,15,1706.203753
21.814213,19,1707.061893
18.779898,35,1707.657447
-1.1657021,192,1718.635853
7.048542,163,1728.003015
20.897057,44,1730.401101
20.8,55,1733.329106
-56.488575,551,1739.035624
-44.557377,184,1748.564966
-5.971633,317,1749.85866
20.462742,26,1751.158136
18.848528,70,1754.359473
-39.468628,180,1757.068544
10.682857,149,1761.950567
21.199999,59,1764.738006
20.614214,58,1767.33621
3.2852695,249,1769.250723
15.711273,86,1771.209669
22.331371,48,1773.33371
19.214212,105,1777.95305
20.517157,75,1781.230869
13.2000065,95,1785.368877
-58.357327,433,1788.372583
9.482855,120,1790.758735
19.4,61,1791.186257
-25.902943,39,1793.44789
-6.323042,68,1796.593106
16.848532,118,1796.901073
18.331371,56,1800.543552
-30.599993,100,1802.816594
-29.317154,102,1805.601696
17.400002,130,1808.626538
5.165696,134,1811.885773
22.434315,25,1813.088224
-2.991708,228,1820.212764
22.234314,48,1822.36974
9.062762,211,1823.542168
20.882843,40,1824.308649
23.165686,24,1824.924888
21.73137,37,1827.002296
-31.157352,113,1830.267019
19.765684,46,1832.436789
-46.53728,128,1833.445773
-611.80524,3227,1837.509304
3.8970573,123,1839.976421
18.517157,70,1840.935851
17.765684,77,1843.554823
-6.080453,270,1846.050927
19.565685,84,1847.604382
8.800015,196,1850.172065
20.13137,68,1850.785014
19.262741,48,1852.981101
8.042657,191,1855.26402
19.248528,50,1855.58426
5.931388,157,1858.017845
17.828426,115,1861.345316
6.8225555,175,1866.488673
-21.682842,14,1867.230715
-11.054477,272,1868.998265
19.145584,46,1871.316564
16.711271,63,1874.271167
-58.931454,263,1874.404357
15.028429,65,1877.34803
18.4,65,1877.516156
-23.302944,84,1882.080619
12.042645,100,1886.6834
1.7455841,192,1887.177663
20.497055,38,1889.015531
17.365686,65,1889.91802
-104.625984,469,1890.646112
19.848528,44,1891.313887
20.93137,58,1893.513972
22.565685,47,1893.647325
21.634314,71,1896.816311
2.3112571,172,1898.206823
13.965691,111,1898.990938
17.979898,113,1904.809466
0.7999695,180,1905.991105
-21.8201,66,1907.87622
7.408348,210,1908.747641
19.897055,85,1911.949233
12.200009,167,1914.062726
-44.26865,137,1915.517622
14.028433,164,1919.730744
-18.2,1,1919.816912
11.505391,132,1920.276118
15.531377,105,1920.412045
-21.282843,20,1921.506919
23.482841,22,1921.782398
16.49117,91,1926.138084
22.165686,31,1927.642542
9.717173,200,1930.038398
19.517157,66,1930.875429
18.331371,35,1931.91338
-18.951471,8,1932.381921
-20.614214,12,1933.047868
-23.64853,30,1934.531704
-72.12314,287,1936.089237
21.248528,54,1938.545427
-42.102955,164,1938.90896
15.305384,98,1943.071747
-6.917205,222,1944.938289
4.5656824,189,1947.969134
-24.723045,62,1951.123456
3.642645,196,1952.916299
16.745586,131,1958.282633
-25.43431,115,1959.314428
14.917159,63,1962.435183
-24.20013,408,1965.652475
12.497071,180,1966.846023
15.5598,100,1967.062302
22.2,32,1967.190398
-30.63431,63,1970.147768
-22.151472,86,1971.140769
16.545586,84,1971.293133
10.50539,112,1976.553632
4.159789,205,1980.617814
0.6485012,231,1981.068916
5.5397024,141,1983.27194
-26.068628,67,1984.657437
17.04264,58,1986.329798
-32.76568,91,1989.320201
12.042653,207,1991.194261
18.317156,71,1992.542405
18.648527,34,1992.76032
20.282843,62,1995.432829
12.317166,148,1999.993612
-76.5918,299,2000.884602
13.828437,160,2003.750314
-35.70293,170,2009.314231
13.965694,137,2010.413044
-21.951471,41,2011.646498
18.648527,114,2017.158795
-28.33738,337,2018.073748
-47.611797,195,2022.692221
-31.999996,153,2026.673635
-52.68288,235,2030.385978
-25.2402,101,2032.174805
19.33137,66,2035.355445
-6.108879,311,2038.997815
-32.454403,195,2040.035663
6.8627567,136,2042.505842
-26.199999,45,2042.705654
-20.4,12,2043.232659
21.579899,40,2044.829731
14.165688,56,2047.390993
21.965685,49,2049.610264
21.834314,32,2051.088478
14.482854,169,2051.177719
20.814213,81,2054.965777
-22.2,83,2055.050631
-67.737366,351,2056.394842
19.93137,45,2057.28668
20.199999,45,2057.36138
23.448528,22,2058.648929
20.848528,37,2059.500175
-23.448528,26,2060.221949
22.414213,30,2061.950756
22.199999,50,2064.774802
15.400005,108,2065.678738
18.565685,65,2069.088207
13.179905,122,2070.990518
19.945583,46,2071.299211
-22.965685,24,2072.226224
-58.577538,293,2072.454375
15.448532,91,2076.858272
15.491172,115,2077.124006
21.53137,57,2079.508966
14.80833,153,2079.943427
14.379906,115,2082.504918
12.600009,127,2085.379979
22.282843,32,2086.839694
18.882843,53,2089.300668
8.400012,159,2089.813335
21.434315,36,2091.510273
21.13137,99,2094.117521
16.345587,127,2097.48708
-24.5173,395,2098.393829
17.11127,104,2098.996486
16.262743,66,2102.230107
21.882843,52,2104.792195
-45.131386,149,2104.881835
6.917174,182,2107.591155
-30.799994,105,2110.265142
-36.80588,121,2113.286956
-48.00003,172,2113.287022
16.697058,83,2114.0234
21.828426,34,2114.979329
13.828432,128,2119.836412
-20.365686,11,2120.431125
5.6142282,159,2120.79163
6.0828457,168,2123.55316
22.379898,68,2124.774288
19.93137,43,2127.130298
-24.8,112,2127.476401
21.697056,54,2129.726639
17.59411,124,2130.103653
22.014214,18,2130.64689
20.862741,43,2132.232815
-24.965685,35,2132.433857
18.848528,51,2134.694664
-23.93726,74,2138.206919
15.048538,166,2140.236963
14.331375,96,2142.603272
-14.165778,361,2144.596303
20.73137,100,2144.993119
16.579903,82,2147.081616
-34.454407,109,2151.099385
16.082848,144,2154.858111
-24.585787,140,2157.954469
21.194113,42,2159.825933
-20.434425,305,2160.748242
22.165686,67,2162.902394
8.800018,198,2164.396752
16.200005,83,2165.190897
-23.985786,75,2169.659631
7.53139,230,2179.368947
8.691188,184,2180.267286
-24.0,22,2181.425249
18.4,41,2181.614299
-23.014214,24,2182.865147
21.317158,37,2184.711936
18.66274,35,2186.4715
18.145584,119,2187.520945
22.53137,31,2188.060946
23.13137,24,2188.786628
-61.49447,562,2194.2528
18.014212,134,2194.590635
14.325487,158,2196.487096
-24.317158,52,2197.208044
16.994112,61,2199.506613
-45.874535,195,2203.637665
12.5799055,146,2204.28182
19.33137,110,2204.930004
-18.6,2,2205.090111
-27.620096,71,2207.891024
13.69706,110,2211.246773
19.497055,44,2213.240391
19.24264,109,2213.512074
-21.517159,34,2215.088057
2.599984,250,2217.733437
17.945583,58,2220.550766
21.614214,71,2223.774189
14.262747,103,2228.449888
23.048529,24,2229.594723
-77.137405,376,2231.695716
-87.523155,407,2235.616371
14.62843,132,2237.478176
21.828426,56,2239.014169
18.165686,80,2243.560835
15.945589,108,2243.704344
22.248528,33,2245.448722
21.448528,37,2247.464779
-32.482838,79,2251.556961
8.6000185,203,2254.384557
-89.96921,411,2254.887624
-26.6402,108,2257.333156
-21.385788,59,2257.762573
21.848528,18,2258.328415
20.248528,37,2259.587366
18.4,108,2263.435006
19.579899,109,2264.815681
-1.3230813,281,2269.100988
17.939695,121,2269.610834
16.731373,81,2273.278032
-19.634315,11,2273.954848
-32.96568,96,2274.631653
17.174011,68,2277.39757
14.511277,134,2283.925502
-56.254475,218,2285.62196
10.29118,129,2291.973935
20.282843,59,2294.804575
19.965685,61,2297.77707
-38.14921,450,2305.933303
9.800019,234,2308.848383
14.974015,107,2310.98933
16.394114,53,2311.537699
-31.951466,111,2317.864148
-197.90079,1179,2324.545106
20.365685,26,2325.959572
-73.626114,291,2327.231739
-24.0,69,2329.583837
14.200005,95,2334.061914
20.199999,42,2336.034359
-46.268646,188,2336.289428
19.199999,49,2338.486307
-18.2,1,2338.565172
22.117157,29,2339.923377
9.779911,186,2345.109163
16.379904,120,2345.573065
19.428427,51,2347.928397
20.111269,89,2349.281036
-26.53137,84,2352.090415
20.199999,46,2354.35112
4.0509715,203,2359.16159
14.794113,128,2360.55981
19.082842,68,2363.819049
-19.282843,6,2364.117809
21.414213,20,2365.043657
15.67696,136,2365.879976
21.297056,74,2369.253621
-30.068626,106,2371.65951
19.53137,83,2373.280453
20.73137,41,2373.69267
20.8,54,2376.715401
-26.399998,63,2377.66408
-195.91504,1196,2378.246489
22.717157,25,2378.872494
21.779898,56,2380.84198
17.634314,45,2380.978113
-38.917156,140,2383.520199
20.511269,62,2383.880702
17.048529,99,2385.532975
18.3799,49,2385.939472
-26.337257,51,2386.506581
19.282843,69,2389.679148
-30.771564,97,2391.674314
-25.551474,95,2396.708863
13.06275,185,2399.276652
-26.79179,368,2404.213428
18.93137,108,2404.307478
-8.317203,237,2407.914698
22.917156,27,2409.324089
18.897057,106,2409.533401
-42.579903,114,2409.935756
22.717157,26,2411.221169
19.394112,109,2414.939725
11.94559,120,2415.464603
21.648527,71,2419.746026
16.882843,43,2422.384837
20.579899,44,2424.893692
2.5656688,246,2425.605863
-20.117157,12,2425.605926
-36.999992,192,2427.51504
-34.13725,127,2432.475725
15.297056,123,2433.796268
-18.2,1,2434.058503
21.13137,35,2434.648733
22.965685,28,2436.726157
15.600007,123,2443.736156
-24.082844,34,2445.3349
-3.363273,290,2450.248824
3.2485015,219,2457.023385
20.614214,23,2458.162708
-30.468624,67,2461.362267
-19.917158,10,2461.857202
19.945583,104,2466.646357
-20.714794,342,2467.419399
19.73137,26,2468.825108
-137.6188,955,2478.488994
2.3999996,214,2480.118733
17.931374,90,2484.873198
-57.42017,263,2484.984603
14.042647,122,2485.133547
21.545584,33,2486.606356
21.014214,36,2488.297615
17.311272,98,2489.778315
19.06274,109,2490.287726
18.228426,58,2491.279744
22.428427,30,2492.995807
19.248528,67,2493.717742
-25.55147,96,2495.82117
14.165695,209,2504.57467
-19.6,9,2505.096511
0.5112732,233,2505.35932
13.091176,103,2510.563116
-86.20014,383,2515.457215
23.648527,23,2516.712618
2.0485077,257,2519.475576
10.511283,176,2520.83591
19.414213,50,2523.017826
-22.923046,70,2525.398689
22.848528,23,2526.74508
17.994112,97,2531.965228
-2.4828703,185,2533.427036
-22.33726,46,2534.455284
-22.64853,21,2534.58947
21.028427,44,2536.855064
19.199999,102,2540.041647
22.745584,28,2541.511349
19.234314,108,2542.58781
-109.45417,541,2547.648448
11.131381,107,2548.008916
-29.799992,129,2548.133146
20.4,42,2550.164186
-35.765675,109,2553.117361
-27.614212,90,2554.258602
23.765686,21,2555.220753
18.097055,58,2555.870172
6.1313915,205,2557.449615
14.111274,87,2561.65884
-50.005936,193,2566.012512
2.24263,251,2574.618399
0.5171173,255,2579.204226
-121.7168,541,2583.217714
17.262743,99,2584.08959
-43.123055,196,2584.997467
21.73137,56,2587.009174
17.774012,87,2591.44693
5.8828583,177,2592.259301
21.297056,62,2595.130791
19.31127,90,2595.706432
-0.6686527,262,2597.784066
20.848528,63,2598.010282
22.082842,67,2598.814347
19.579899,67,2601.065683
18.634314,48,2603.313965
15.697063,126,2604.13666
18.897055,105,2609.062624
-8.434374,227,2609.614314
23.082842,24,2610.179558
8.842654,148,2610.446663
21.53137,35,2611.35417
18.062742,39,2612.11293
21.165686,42,2614.024529
21.248528,79,2614.997761
21.979898,55,2616.596522
3.7598057,167,2618.2136
16.73137,85,2618.962635
-26.599995,103,2621.379829
-21.068628,18,2622.241788
8.117171,154,2625.368442
-66.0344,232,2629.642081
20.545584,101,2630.006993
-40.165695,170,2630.100384
-22.751472,26,2631.419545
21.517157,53,2632.611644
12.000009,121,2636.805425
-39.88873,137,2639.007911
16.882843,158,2641.199581
