#{"t_start": 1655205393.8191462, "env_id": null}
r,l,t
-24.8201,34,5.746436
-21.448528,17,6.568634
-20.082842,9,7.032276
-43.848545,154,11.305326
-33.399994,75,14.732157
-149.04787,638,38.290506
-112.48261,470,38.387698
-192.2614,861,46.490186
-27.28284,42,48.480962
-39.951473,121,54.060019
-278.26025,1343,101.294022
-19.0,6,101.619628
-194.13521,1117,106.054395
-27.605886,51,108.511623
-23.800001,23,109.742534
-85.28299,336,118.372132
-68.08294,250,122.738266
-371.88507,1768,122.863279
-19.317158,8,123.419147
-42.48285,120,125.16521
-22.86863,52,126.648635
-20.634315,11,127.468034
-27.545584,47,130.586259
-58.117207,189,134.608008
-35.282833,88,135.558551
-28.097054,42,136.804707
-2.1029618,159,143.444844
-90.082924,367,145.277385
-63.117245,227,154.879196
-77.351616,318,161.642072
-56.682922,250,168.252674
-36.165676,96,174.008743
-181.13869,808,180.103473
-49.317226,381,196.943681
10.325491,116,202.212664
-112.96492,704,208.401794
-5.0686607,217,219.482661
-25.985786,40,221.661131
-49.600033,161,229.16461
-51.794147,154,236.661173
-321.93127,1520,238.062619
-28.034311,52,239.189846
-22.882843,29,240.549934
-28.999996,55,240.758885
-21.4,18,241.618414
9.48285,79,245.671988
-21.4,12,246.288826
-35.73741,405,260.036769
-115.096886,503,269.64125
16.034315,58,272.34226
-73.24865,286,285.623218
-33.731365,74,288.950009
-34.24852,79,292.553086
-30.951466,86,296.509982
-471.64594,2331,315.516442
-92.06869,436,319.432065
-29.999994,94,324.388805
-4.020135,162,331.867344
-262.66776,1521,333.78236
16.945585,59,336.686304
-41.96343,474,339.633512
-42.165695,141,344.996986
-28.282978,332,350.148112
-39.48285,129,357.181937
-71.1776,322,358.367558
-65.2001,271,370.574978
-227.00333,1281,418.709483
-308.80157,1731,429.204302
-21.717157,22,430.270408
-65.71724,229,440.969777
-131.04225,568,445.833266
-150.9993,683,481.627957
-19.751472,10,482.289826
-23.4,26,484.103546
-190.95024,838,500.902108
-533.01117,2605,510.138983
-24.95736,68,513.687987
-42.71717,146,522.126551
-132.33087,619,522.76541
-6.7657127,166,530.855051
-107.82829,425,545.399863
-226.75784,1056,557.964198
10.448535,83,562.131044
-22.682842,23,563.63618
-92.03441,423,567.822945
-21.765686,37,569.683872
-28.531368,52,572.252458
-146.73067,639,595.378587
-323.95148,1581,612.987256
20.8,40,615.541179
-133.95926,585,646.289874
-255.3492,1178,658.037106
-57.35155,254,670.060976
-471.87082,2315,689.456415
-27.55147,50,691.824237
-31.29705,64,694.824232
-139.34506,603,698.367642
-41.165695,134,701.107693
-259.90048,1235,705.599388
-116.476715,477,721.368208
-27.35147,47,724.293108
-102.33132,419,726.857368
-37.971565,101,729.438193
-40.502953,130,734.202988
-18.117157,1,734.339077
-20.717157,12,735.13835
-213.84686,975,753.569679
-82.51143,315,771.06208
-46.985813,149,779.519758
-114.79971,476,808.417475
-56.214275,198,820.277588
-25.068628,56,823.380025
-20.365686,10,823.965564
-84.98006,343,842.871026
-45.414238,132,850.028881
-22.482843,21,851.258196
-20.4,11,851.917794
-20.517157,10,852.48963
-24.2,32,854.265389
-26.745583,35,856.292548
-26.331371,40,858.43338
-462.15854,2246,859.018872
-26.199999,37,861.224006
-156.08203,690,895.783144
-18.282843,1,895.874194
-63.09714,220,906.704328
-138.41359,664,942.527446
-23.082844,29,944.101484
-22.345585,40,946.231544
-64.40009,236,958.104969
-48.56572,170,966.442375
-432.58594,2118,972.023304
-911.2765,4457,978.988862
-39.985786,106,984.087388
-39.337257,112,990.252472
-92.028496,382,991.215425
-26.234314,39,992.702469
-127.848145,536,993.828783
-25.2,33,995.956131
-46.46865,135,1004.166154
-102.157265,428,1017.68204
-28.882841,51,1020.72329
-38.579895,99,1025.774369
-30.01421,62,1028.929653
-45.26276,130,1035.589425
-175.93022,824,1037.235141
-37.482838,99,1040.531703
-205.6269,925,1053.21872
-122.725136,528,1065.694391
-88.64863,345,1071.860966
-26.365685,40,1073.91322
-76.52563,302,1081.02585
-60.931442,201,1084.541191
-39.282845,104,1086.781091
-197.17848,890,1088.513807
-30.30294,62,1091.369003
-50.862778,158,1094.402844
-53.51721,177,1100.785959
-33.89705,76,1104.474962
-172.91606,774,1133.14675
-151.81937,712,1145.263009
-99.96564,414,1154.775316
-35.53136,92,1159.598722
-256.69473,1195,1160.19627
-28.248526,50,1162.455317
-116.17133,549,1172.94977
-61.151554,222,1172.949835
-29.248526,55,1175.592754
-60.35743,220,1183.730485
-133.99947,592,1190.079971
-92.29712,360,1194.779067
-62.957455,255,1197.929998
-53.83436,180,1199.795651
-67.794205,233,1207.354356
-26.365685,44,1209.905046
-57.94565,186,1210.188219
-78.248665,283,1214.007091
-46.20002,154,1218.919052
-56.600056,187,1220.921372
-29.882841,56,1222.015919
-30.41421,88,1225.933685
-85.31141,326,1232.612035
-44.5657,125,1233.266271
-79.88299,292,1238.352761
-25.834314,41,1240.543294
-52.28289,170,1242.180098
-21.579899,18,1243.130505
-33.51715,79,1244.717142
-25.331371,27,1246.187426
-50.38579,129,1250.058518
-91.43438,370,1266.834979
-33.365677,90,1271.760379
-94.35153,432,1274.119963
-31.171572,61,1275.084968
-50.717197,165,1283.047956
-21.8,15,1283.887177
-21.951471,26,1285.34183
-88.26874,334,1293.151179
-245.45226,1136,1294.540423
-21.517157,18,1295.580905
-55.88289,188,1295.684721
-24.06863,31,1297.452227
-19.4,7,1297.863376
-39.4402,118,1299.901002
-41.897064,113,1303.409338
-58.902992,186,1312.068553
-25.682842,41,1314.198343
-59.497128,208,1324.003879
-31.282837,64,1327.031803
-29.965683,52,1329.528009
-22.6,22,1330.580059
-171.03331,781,1336.694187
-32.38578,75,1340.184644
-203.21867,938,1340.621927
-21.571573,41,1342.910573
-89.179985,349,1360.538049
-128.79955,644,1372.84082
-195.63292,875,1373.971352
-72.082954,254,1386.50955
-30.585781,64,1389.854384
-26.765684,43,1392.158051
-121.434006,509,1398.560523
-51.5373,167,1400.866625
-53.56573,176,1408.181026
-20.517157,12,1408.94039
-52.111313,163,1418.28963
-38.682842,107,1423.976922
-175.096,762,1467.626857
-267.81174,1266,1472.968063
-54.800056,188,1484.064208
-107.17142,477,1495.777802
-23.420101,31,1497.613008
-550.8313,2596,1504.000141
-132.56525,540,1514.670953
-42.545593,117,1520.955358
-72.21433,271,1535.316738
-133.59364,596,1536.041129
-173.87596,764,1538.803611
-20.4,15,1539.616971
-26.282843,40,1541.821923
-47.331394,136,1542.606863
-23.482843,27,1544.069772
-56.014267,183,1545.70953
-26.999998,43,1546.421578
-20.8,14,1547.19312
-35.765675,86,1551.754374
-74.96581,279,1556.861843
-33.634304,98,1561.816283
-96.42844,378,1565.769781
-40.482845,103,1567.611566
-21.882843,18,1568.705114
-91.69713,338,1570.094524
-26.599998,44,1572.626482
-55.931435,212,1578.044251
-22.4,23,1579.255411
-77.40601,297,1585.424286
-27.68284,45,1588.072007
-92.83435,376,1600.676744
-117.51689,496,1600.815536
-35.234306,86,1605.252505
-110.19986,450,1612.885322
-71.58002,250,1614.010555
-60.20596,219,1616.757308
-116.34782,473,1644.09398
-147.68217,652,1651.171209
-189.84131,826,1659.540496
-85.14574,360,1663.899192
-192.9987,844,1704.650911
-23.282843,28,1706.495177
-215.63263,982,1718.652368
-286.3008,1353,1725.077472
-120.08255,501,1748.805648
-20.0,10,1749.355447
-160.74475,723,1753.268876
-91.6285,344,1772.326941
-113.4483,522,1777.18588
-33.751465,79,1781.301396
-84.580055,312,1796.366941
-394.86642,1885,1802.553514
-36.482834,98,1807.075098
-22.482843,20,1808.25263
-22.2,20,1809.371053
-70.39422,247,1822.203595
-18.2,1,1822.321345
-67.43441,254,1835.414646
-74.85454,268,1850.170377
-33.028423,58,1853.214625
-36.297047,90,1858.563121
-261.0461,1227,1860.57239
-20.682842,13,1861.237236
-38.50294,104,1863.70521
-44.097073,124,1867.299639
-47.68287,144,1870.971978
-28.917154,53,1873.723544
-35.09705,80,1878.068891
-32.882835,74,1882.244259
-42.137268,120,1888.621097
-26.965685,42,1890.927224
-28.68284,55,1893.908819
-23.165686,25,1895.293079
-134.63383,583,1898.727592
-40.854424,114,1905.012312
-27.48284,46,1907.541029
-26.848526,43,1909.868603
-585.8769,2842,1920.08348
-107.63414,478,1920.908568
-79.745735,301,1935.734531
-46.17992,139,1942.534755
-48.034344,152,1950.653939
-39.034313,109,1956.413281
-54.75985,178,1965.928276
