#{"t_start": 1654786655.4531949, "env_id": null}
r,l,t
-21.7,57,4.694978
-26.199997,82,5.896598
-20.800001,28,6.072077
-27.099997,91,6.386744
-23.4,54,8.60428
-26.999996,90,13.932074
-24.199999,62,17.915473
-40.10004,221,19.03807
-44.500057,285,21.818726
-32.10001,141,24.993804
-20.300001,23,26.066384
-44.800056,268,31.796887
-37.30003,213,31.796951
-34.30002,163,33.592363
-22.8,48,34.107409
-27.599995,96,38.583224
-33.900024,179,40.27564
-32.100018,161,41.216439
-28.699997,107,43.579078
-25.099998,71,44.458233
20.3,57,47.106574
-25.399998,74,50.468657
-23.9,59,53.294558
-56.500015,385,61.317837
-42.200047,242,72.374232
-65.29989,493,75.796952
-30.600004,146,79.060573
-28.599997,106,80.711261
-39.200035,272,91.549558
-67.89986,599,108.247801
-174.40022,1564,112.156844
18.600002,94,112.596449
-25.199997,72,115.952034
-39.099617,691,123.512726
8.299983,177,124.23293
-48.10009,381,141.056699
15.300005,107,146.054969
13.500006,125,151.84379
12.600001,154,159.002936
-2.400062,304,172.978748
23.5,25,174.197297
-121.1995,1472,180.489405
-32.20001,142,180.989494
18.000002,60,183.331902
21.699999,63,184.004635
18.400003,76,186.945498
-151.49883,1355,187.208222
20.699999,73,190.584103
-29.800001,118,192.504296
-25.199997,72,194.009616
-29.900002,119,199.500471
-5.4000773,354,200.541795
-8.700106,407,211.26072
17.900002,81,215.14194
-65.19989,492,222.434704
14.300008,157,222.660084
-22.09981,521,225.040412
15.200004,88,226.835749
20.9,91,229.444131
14.900003,131,233.006166
18.300001,57,235.664679
2.7999406,292,249.324188
-12.799971,468,251.271555
-23.199999,52,251.773913
20.8,32,252.870733
-20.6,46,255.007785
21.0,30,256.405275
19.300003,107,256.856403
-24.3,63,259.825075
19.2,88,260.60415
22.6,34,261.46235
-19.9,19,262.364847
0.79993284,292,274.124286
0.69993246,293,287.666113
-73.49977,595,289.850924
-22.8,48,292.062365
23.3,27,293.376548
-18.3,3,293.561645
-43.20005,252,299.454983
10.49999,155,300.762111
21.099998,49,303.06569
-22.9,109,304.569557
23.699999,63,306.084833
23.6,44,306.708044
23.3,27,307.997115
-25.199997,92,310.424403
-35.400024,194,317.081549
-42.50005,245,328.311378
20.2,58,331.182027
-21.1,31,332.636565
15.800003,82,336.417774
22.199999,38,338.181295
21.199999,48,340.420307
-91.39945,754,345.44638
18.000004,80,349.159227
-33.200016,192,358.02282
-19.9,19,358.97041
-60.299957,423,360.02325
23.1,29,360.37781
21.3,27,361.666324
24.1,39,361.957293
-20.9,29,363.365229
21.5,45,365.507046
-22.2,42,367.494529
-65.69985,537,386.712311
-24.999998,70,389.954371
-18.4,4,390.174448
21.4,46,392.340218
9.199993,208,401.942023
-22.0,40,403.787183
-99.49936,835,406.199466
-458.11752,4401,428.881549
-77.1997,592,434.448941
-20.300001,43,436.454849
-36.799553,688,436.581241
18.400003,96,440.999794
17.900002,81,444.849078
-38.300034,203,445.998286
20.4,56,448.590758
18.200003,98,453.310751
-29.099817,591,456.567063
20.0,60,459.510713
-52.700073,347,461.385815
-33.40003,194,470.393787
-2.700069,387,471.54301
-22.2,42,472.399827
20.699999,53,474.050858
19.9,61,475.284156
22.1,19,476.224717
0.89996374,331,491.659019
-45.000072,350,507.780279
-27.299986,233,518.614786
-120.39905,1044,566.482053
-45.39943,794,602.967461
-300.20798,2862,606.056221
21.4,86,607.060652
21.0,50,609.448455
14.900008,131,612.370226
20.0,60,612.370289
22.699999,53,614.870724
21.0,70,615.734973
23.0,70,618.238238
22.199999,18,619.116764
18.800003,152,622.899538
20.4,76,626.523716
9.59999,264,638.662416
-49.60009,456,640.360834
20.9,111,643.883754
-26.899988,169,648.200481
15.800004,102,648.651286
23.1,49,650.506855
23.8,22,651.572224
-21.300001,73,652.137749
21.3,127,658.184464
-29.800009,138,658.184515
21.0,70,661.468134
18.800001,72,661.639475
22.599998,54,664.087493
14.900014,191,670.560139
-32.10001,161,671.599841
22.3,37,673.364239
-21.300001,33,674.95707
-31.800009,138,677.146498
-35.700024,177,685.298983
12.0,180,693.705417
23.3,27,694.999934
-525.0216,5090,696.364652
17.200006,128,701.103785
19.0,70,704.411415
3.99993,300,718.202349
19.7,123,723.872927
-72.69913,1067,724.646145
-77.89967,659,727.02392
19.800001,82,728.584957
20.6,54,729.582522
-21.300001,73,732.008711
-39.600037,216,734.177671
14.600006,114,734.997029
21.3,67,735.269309
20.699999,73,738.488844
18.800001,112,740.534391
22.8,32,742.039197
20.9,91,742.818365
-20.5,25,743.329668
-32.800003,268,746.927585
21.899998,101,748.071376
20.199999,98,752.598199
15.500005,125,752.767715
21.6,44,754.82579
-24.399998,64,757.8176
-39.40006,274,765.289776
23.8,22,766.319671
24.3,17,767.155172
-20.1,41,769.091026
-32.599678,606,771.216701
7.29995,287,771.318307
10.29998,277,784.147511
19.200005,148,791.003062
22.599998,34,792.585265
19.9,81,796.330708
-31.29973,593,798.787746
-9.20009,352,814.9827
-11.000071,450,817.171133
-28.599995,206,826.600311
-10.700087,447,835.780713
-168.70341,2087,866.173556
21.3,67,869.280463
21.9,61,872.115918
22.4,56,874.734437
20.9,71,878.022223
21.3,67,881.128581
-68.89917,989,881.925604
22.4,36,882.961635
-198.10437,2281,932.664038
21.0,110,937.726708
21.1,29,939.11111
-26.299995,123,944.866492
23.8,42,946.809116
20.5,135,952.981718
22.4,36,954.721372
23.6,24,955.886905
21.6,24,957.053565
-132.10048,1681,960.840956
-30.300003,203,966.498922
20.8,52,968.933689
-60.09996,441,981.20699
20.5,35,982.838207
23.1,29,984.235224
-29.699999,137,990.58527
20.699999,53,993.06238
18.300001,137,999.660962
-101.699295,897,1010.903099
-299.00784,2830,1013.700992
-14.699953,427,1019.777737
5.9999604,220,1021.242951
-30.200003,202,1030.576324
20.5,35,1032.417183
-3.6000743,356,1048.849768
22.3,17,1049.667139
-43.799515,758,1055.140169
8.299971,217,1059.835655
0.8999485,251,1066.804993
19.0,170,1067.725939
21.699999,43,1068.875081
-27.599997,156,1076.082899
-34.200016,182,1076.218472
-21.2,52,1078.554777
18.8,92,1080.500906
-25.699997,77,1082.146649
19.300001,127,1088.004911
-46.10006,341,1103.779068
-28.199993,182,1112.164121
20.599998,94,1116.563449
-18.1,41,1118.529365
-19.5,55,1121.083314
21.1,49,1123.369948
-31.800009,138,1129.766079
-80.19892,1122,1132.603045
-18.1,1,1132.690974
20.699999,93,1134.233647
20.8,92,1137.045945
-18.1,1,1137.123921
-24.199999,62,1139.990031
-36.500023,205,1149.347604
-4.0001006,420,1153.64022
18.900002,111,1154.551592
14.5,155,1161.656711
12.099984,179,1161.937613
22.099998,39,1163.550472
-22.4,44,1165.635929
22.3,77,1169.217777
22.199999,38,1171.10428
19.4,86,1175.18276
-9.500092,355,1178.740939
-28.099997,161,1186.262417
19.699999,63,1189.228767
-2.7000804,347,1191.463703
-22.6,46,1193.661357
-20.9,29,1195.016714
19.699999,103,1199.729475
-416.11508,4041,1202.112737
20.1,99,1204.413128
19.699999,103,1207.118571
