#{"t_start": 1654770089.853611, "env_id": null}
r,l,t
-20.800001,28,3.016289
-22.300001,43,3.606094
-24.699999,67,4.802405
-19.9,19,5.775098
-23.5,55,8.740154
-29.800001,118,9.050566
-28.399996,104,9.329267
-20.4,44,11.270689
-22.5,45,11.7403
-21.1,31,12.953585
-26.099997,81,13.531381
-20.300001,23,14.150544
-23.3,53,17.263436
-24.999998,70,17.6574
-26.299997,83,22.026803
-28.499996,105,27.489573
-19.7,17,28.439461
-21.4,34,30.233685
-25.999996,80,34.22664
-50.70008,327,34.466703
-31.000006,130,40.979687
-24.3,63,43.967772
-41.100044,231,46.106848
-36.800026,188,55.428634
-39.300034,233,55.672263
-102.09929,861,56.292903
-18.7,7,56.728834
17.100002,69,59.071926
-19.5,15,59.838911
-18.1,1,59.938129
-27.599995,96,60.684735
-23.8,58,62.805681
-20.7,27,64.14621
-40.30004,223,71.387024
-34.400017,184,72.89678
-25.499998,75,76.785649
-37.000027,190,80.912419
-27.099997,91,81.296993
-38.800034,208,91.236093
18.400002,76,95.142831
-60.89994,509,106.579176
-38.100033,201,116.502882
-71.39976,554,122.713238
-32.50001,165,130.754938
-62.399834,504,141.510182
-189.90115,1799,218.107609
-256.60782,2926,282.371184
-18.9,9,282.837725
-65.89987,479,305.607382
-34.000015,180,314.317183
-22.7,47,316.604885
-231.50371,2155,321.142114
-58.09999,421,341.315037
-30.300018,163,349.089914
-24.699999,67,352.268006
-72.89913,989,363.935213
-68.39983,504,388.404942
-55.90004,419,407.643883
-52.20008,342,423.362257
-192.90135,1749,434.583275
-50.10008,321,449.591681
-43.60005,276,463.756704
-24.699997,87,469.263918
-27.199995,92,474.993558
-315.10883,2991,579.152522
13.900007,121,584.871611
-253.50772,2795,621.309282
-58.499992,425,642.287419
-1205.8575,11900,644.969359
-142.09871,1241,647.782109
-35.40002,174,650.476879
0.59995496,254,659.51944
-2.8000731,308,664.745827
7.799973,202,668.878518
-67.19915,952,690.794627
-24.299868,483,693.560314
-33.09971,631,697.135301
-72.99976,550,723.051358
18.300005,97,727.934268
-39.100067,291,743.363959
-73.19976,572,773.063561
-55.00004,370,791.162135
-282.10678,2641,825.022125
-288.00998,3200,855.510352
-6.3001018,403,874.428092
-237.40428,2274,897.586455
-86.99955,690,906.855215
17.800001,102,911.57014
-70.6991,987,957.534859
-174.60025,1606,973.236439
-30.999712,610,986.979944
-31.500008,135,993.357017
-10.100069,481,995.993695
18.700005,93,1000.270209
15.600003,84,1004.176577
-35.300022,213,1013.961368
-41.700043,277,1026.774254
-66.59922,906,1035.203401
-49.500072,335,1042.193755
-32.40001,144,1048.860732
21.3,27,1050.283415
-87.09955,691,1067.252365
-4.7000957,367,1084.99551
-31.90001,159,1093.658877
23.9,21,1094.649336
11.799988,182,1103.867209
21.9,41,1106.043404
-89.29869,1253,1111.991914
-29.4,134,1113.0385
22.6,14,1113.81252
20.599998,54,1116.4498
19.2,88,1116.550721
-28.599997,106,1121.822506
-20.6,26,1123.151573
9.899967,281,1130.332243
