#{"t_start": 1658916491.8886125, "env_id": null}
r,l,t
-23.268425,97,13.388247
-29.92265,184,15.916143
30.63289,133,17.134917
-24.187105,99,19.671068
-27.298172,176,20.995659
-16.271063,235,31.51438
-36.12848,290,32.835246
-17.998678,106,36.964726
-24.13157,198,39.084955
-21.035532,125,41.007873
-16.199997,210,47.957286
-34.397404,307,55.333917
-14.136884,299,60.310499
-36.966663,343,69.130027
-32.28135,233,70.303275
-22.394213,74,72.802191
-22.748425,121,76.901171
-32.853737,252,77.811542
-26.124464,158,83.947662
-17.065783,224,85.474795
-36.25559,286,93.322407
-31.018188,287,94.963153
-18.705786,56,95.477223
-19.742638,150,100.241592
-27.449745,150,105.436793
-35.494263,279,114.442243
-53.08729,619,116.238379
-94.85017,2904,117.467007
-21.014212,80,118.688042
-21.414213,75,122.860158
-37.453033,658,151.100033
-7.1335444,2217,314.99801
31.332891,48,318.035633
-16.713879,3092,321.967987
12.435912,3330,333.146012
-6.609013,309,343.917354
39.29997,185,357.065589
63.87977,606,376.055617
62.451775,357,382.672504
22.727036,199,390.540707
-1.1676154,143,393.227973
26.467854,213,408.465157
23.13992,268,410.046042
-9.100009,55,414.157351
72.42208,261,427.362618
64.77808,250,432.780276
78.11098,273,453.604355
74.576225,749,487.137243
48.487076,111,495.34101
57.235207,2436,499.528714
39.374184,127,504.300045
60.279938,186,515.322994
61.828354,225,534.289803
118.75826,1026,536.878554
59.675465,193,552.476151
31.474125,247,572.69432
117.535835,475,573.134541
31.46074,228,591.574764
44.807,295,596.615773
29.415533,31,599.160321
61.53994,173,605.60683
18.455479,154,611.623951
37.698166,79,618.01456
104.19499,712,661.586464
115.04865,614,666.189137
13.444225,2172,677.95008
83.08386,264,684.419562
92.33498,355,687.420185
77.533615,264,705.138402
30.107826,281,708.690235
9.405739,134,715.200582
22.459934,202,722.98736
32.168427,33,724.918782
43.32963,306,735.559551
28.608427,36,737.752782
105.543564,386,751.35845
29.354214,28,753.668129
40.5999,295,776.362167
56.988705,1443,782.403127
46.171043,120,783.657066
47.59682,128,792.476372
-9.200653,380,823.296709
114.57337,582,829.822888
90.10165,347,847.410099
83.02517,298,850.421857
41.425266,78,856.029851
-0.8161044,184,860.827392
4.2554784,189,871.643278
24.360703,308,886.226046
68.9923,235,902.98198
52.45549,154,913.219755
133.11171,648,917.843923
64.55759,281,929.148982
67.02389,217,929.975023
-2.2155566,109,935.934117
72.903854,298,948.182162
82.81223,444,962.040739
41.134182,139,971.76537
82.58023,292,989.517234
126.94043,828,998.451423
14.986038,226,1002.549254
41.61551,96,1004.189766
77.949646,275,1018.772684
75.03806,312,1022.205444
39.6213,100,1024.454699
-76.5344,4387,1033.598807
-5.6600747,208,1036.227959
53.634167,139,1044.174978
74.32833,275,1049.500912
63.8211,590,1055.79824
38.909737,227,1062.202997
75.374115,302,1072.968564
73.07677,254,1076.590894
29.04132,29,1078.291926
63.4917,630,1080.692465
69.934135,224,1088.081243
23.9305,202,1095.279325
31.412807,244,1096.264
24.067036,207,1107.97471
79.0652,246,1109.411397
80.01987,349,1109.626502
-10.2872305,304,1129.991999
85.93986,428,1136.71551
-0.4276481,131,1139.032296
51.039955,148,1148.952292
63.20968,212,1151.127936
41.139977,93,1155.443668
7.396815,138,1164.626291
42.13287,108,1172.068364
87.21088,543,1187.987484
73.48834,217,1202.302486
31.954208,48,1205.487768
57.08749,3012,1309.080762
-24.743584,2095,1309.479724
97.06868,609,1351.186071
17.419441,174,1361.587689
-36.867847,2608,1375.930106
39.65989,1117,1381.96327
62.28123,242,1392.252315
-6.554256,157,1401.638439
-9.724468,63,1405.333114
29.161322,48,1408.232817
106.85663,435,1409.85059
55.867054,167,1418.114358
17.495472,177,1420.34853
-1.0040412,232,1431.990203
40.402626,67,1435.938184
82.13675,301,1438.235522
-12.163146,66,1439.90318
32.627106,54,1443.109483
53.509705,147,1451.669123
69.05991,522,1469.571469
30.194077,336,1472.18045
52.672337,176,1480.007079
32.676853,49,1482.958092
64.28572,190,1494.163607
45.2392,733,1515.155844
-9.3815,463,1521.309301
77.41545,256,1536.184346
121.753265,452,1541.961602
-25.498175,111,1543.086725
58.135483,170,1551.962027
60.472828,191,1554.271013
46.581264,177,1563.055573
-2.1742911,213,1568.10118
69.23544,240,1583.766792
18.94704,538,1597.845117
-15.0715685,320,1617.846717
136.64183,749,1629.517822
-18.150585,4550,1637.935599
80.02565,353,1638.103769
29.088427,37,1640.073891
14.834122,254,1652.184877
88.43805,442,1654.381699
75.11411,290,1656.601693
48.6128,284,1671.558754
33.28131,42,1674.847909
80.09128,520,1691.544134
-2.5833583,562,1692.41865
34.647007,278,1692.608276
33.62974,66,1697.039504
-14.748435,171,1703.270469
80.89226,340,1716.322388
0.1504979,241,1720.315546
59.89281,220,1731.030816
60.052834,162,1741.161595
42.62646,374,1745.734868
45.018406,1093,1773.050662
22.559332,417,1775.167041
25.815357,511,1777.839622
5.3496976,155,1787.648069
72.73542,290,1803.949037
27.748436,529,1806.727009
-8.634746,106,1813.719968
45.042545,335,1824.778116
-17.692879,870,1825.902114
38.251057,66,1829.831228
43.501297,106,1831.499461
-4.828549,300,1832.123129
41.034195,169,1843.177877
12.785732,240,1846.042124
5.021254,205,1855.934085
6.5639176,140,1864.105055
14.439858,378,1868.162288
